评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1319406351,PRC人民,男,其他,357,83,102,用的是繁体字和英文，那肯定是港逼仔或台吧子干的,39,2020-04-17 23:07
https://weibo.cn//u/5746351511,木叶茶白,女,上海,1336,162,73,有些人天天造谣，祝福造谣的原地爆炸,18,2020-04-18 07:54
https://weibo.cn//u/5381869653,daisyru,女,其他,371,796,63,湖北回来的都是专列，专车接送，防控严格,5,2020-04-17 22:32
https://weibo.cn//u/6514213682,大哥我要咸鱼翻身,男,其他,2,36,2,我证明这一条是对的，我们家就在西站对面，隔壁某尚酒店和某世纪酒店都是湖北回来的隔离的人。,0,2020-04-29 13:34
https://weibo.cn//u/2708142383,犬系boy张哈哈,男,江苏,2846,585,591,回复@PRC人民:Roc人民干的👌,0,2020-04-24 09:24
https://weibo.cn//u/6389779290,玄空之灵,男,北京,2349,122,83,措施严密，值得称赞！,0,2020-04-24 03:31
https://weibo.cn//u/3901754888,李老师猫咪之家,女,山东,31025,15012,10610,转发微博,0,2020-04-23 22:40
https://weibo.cn//u/1673815192,晨覲,男,北京,295,31,71,赶快把造谣者抓起来拘留,0,2020-04-23 21:28
https://weibo.cn//u/2628921045,峰峰rfc,女,北京,44306,1108,495,#微博辟谣#,1,2020-04-23 20:58
https://weibo.cn//u/6440538611,御用朱砂笔,男,湖北,88,255,58,图片既有繁体字又英文，就是没有正规的简化字，不是傻子的都能看出来是谁在造谣。,1,2020-04-23 19:54
https://weibo.cn//u/5340834901,网信大厂,男,河北,1974,64,106, 【北京西站出现大量白衣人，疑似疫情大爆发？来听听离鄂返京人员怎么说】,0,2020-04-19 11:23
https://weibo.cn//524023407,湘微笑8,男,湖南,34548,713,1630,//,0,2020-04-18 10:34
https://weibo.cn//u/5335365858,Linqing4305,男,四川,840,69,204,太气人了，就没人管吗,1,2020-04-18 10:27
https://weibo.cn//u/5818558946,实事求是bxgI,男,广东,12301,2089,507, ,0,2020-04-18 10:15
https://weibo.cn//u/6511692907,灰色4180,男,其他,4,94,2,我跟我朋友在手机赌博平台两个一快输了不少钱，特别难控制自己，有点小钱总是想充进去，老是想回本了就不玩了，越陷越深你们能关闭这个平台吗？估计跟我一样的人特别多,0,2020-04-18 08:51
https://weibo.cn//u/5746351511,木叶茶白,女,上海,1336,162,73,有些人天天造谣，祝福造谣的原地爆炸,18,2020-04-18 07:54
https://weibo.cn//u/1319406351,PRC人民,男,其他,357,83,102,用的是繁体字和英文，那肯定是港逼仔或台吧子干的,39,2020-04-17 23:07
https://weibo.cn//u/5381869653,daisyru,女,其他,371,796,63,湖北回来的都是专列，专车接送，防控严格,5,2020-04-17 22:32
https://weibo.cn//u/3975493104,我是十万个不为什么,男,北京,334,42,65,造谣的抓,3,2020-04-17 22:22
