评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5107012474,妞勇气丫头,女,山西,2919,98,68,转发,0,2020-02-17 10:08
https://weibo.cn//u/3150380883,欧阳筱怜_101,女,山西,3189,26,3,转发,0,2020-02-17 09:13
https://weibo.cn//u/5107012474,妞勇气丫头,女,山西,2919,98,68,转发,0,2020-02-17 10:08
https://weibo.cn//u/3150380883,欧阳筱怜_101,女,山西,3189,26,3,转发,0,2020-02-17 09:13
https://weibo.cn//u/5406006642,爱的圈圈125,女,北京,260,62,1095,不信摇。不传谣。未经证实的消息不盲目传播，网咯不是法外之地，,0,2020-02-17 00:59
https://weibo.cn//u/6591588312,徐哥200807,男,北京,410,1000,765,晚上好。,0,2020-02-16 21:02
https://weibo.cn//scweimi,沐水腊肉,男,四川,917,1831,1241,不传谣、不信谣，但总有人辟谣啊！,0,2020-02-16 20:47
https://weibo.cn//u/6550609638,封你没商量2020,女,辽宁,8,345,37,我想听真话，啥时候能出门啊，在不出门我就要出栏了,0,2020-02-16 19:12
https://weibo.cn//u/5656475379,遂宁网警巡查执法,男,四川,9095,1157,2406,【,0,2020-02-16 17:19
https://weibo.cn//u/2153582054,法师祺祺,男,江西,515,208,194,捉谣话题真的是太好了，为广大群众很多网友讲解真相,0,2020-02-16 11:27
https://weibo.cn//u/3184105330,孤鹰weimu,男,四川,322,2021,6844,不造谣，不信谣，不造谣！,0,2020-02-16 07:47
https://weibo.cn//u/1154245620,成夏0302,女,北京,181,206,150,贸易公司的朋友收到的信息，求证实 ,0,2020-02-15 22:00
https://weibo.cn//u/5409292190,我家的猫不吃鱼鱼鱼鱼鱼,男,广西,24,68,62,请问在游戏里发现歧视侮辱疫情病人和医院的人可以举报吗,0,2020-02-15 19:29
https://weibo.cn//u/1849863472,BBMMMMt,男,陕西,45,203,144,回复@eo_eoe:财新网就不是好东西，疫情之前就贬低中国，疫情开始跳的最欢，从李医生那就开始了,0,2020-02-15 18:16
https://weibo.cn//u/3216381880,你是梦中常客_,男,其他,258,314,157,微博里面这么多色情能不能管一管!,1,2020-02-15 17:19
https://weibo.cn//u/7096441340,安静吃瓜的麦芽,女,其他,25,35,209,就问一句微博大v传谣就动不了？就只能辟谣了事？,0,2020-02-15 17:04
https://weibo.cn//u/7270730447,一弯小月牙003,女,其他,394,314,132,但是希望那个高某某真的被调查被撤职，祸国害民历史罪人之一。,0,2020-02-15 16:57
https://weibo.cn//u/5918995244,许昌网警巡查执法,男,河南,4949,414,2273,【,0,2020-02-15 16:29
https://weibo.cn//u/5918995244,许昌网警巡查执法,男,河南,4949,414,2273,【,0,2020-02-15 16:28
https://weibo.cn//u/2218792451,来宾网警巡查执法,男,广西,15133,1823,114547,转发微博,0,2020-02-15 15:51
https://weibo.cn//u/5883352666,雨蒸同志,男,湖北,23,69,20,咋管管sm3吧   造谣要及时制止   好人会心寒哦,0,2020-02-15 14:40
https://weibo.cn//u/6550609638,封你没商量2020,女,辽宁,8,345,37,中国加油，武汉加油！,0,2020-02-15 14:17
https://weibo.cn//u/1895583213,页阳天_160_685,男,北京,4343,316,1111,     举报             赞[0]         回复             2020-02-15 14:05:28 来自网页,0,2020-02-15 14:05
https://weibo.cn//u/3795956403,涓涓细流马甲,女,山西,29,87,29,回复@传说中的女网警:网警你好,0,2020-02-15 13:23
https://weibo.cn//u/6630317479,是否长大了,男,其他,0,10,1,，,0,2020-02-15 12:16
https://weibo.cn//u/7288317036,莜面栲栳栳的滋味,男,北京,227,264,256, 周一就要上班了，摇不上号的北京人都被逼去聚集坐地铁增加交叉感染，你们才满意吗？为了京牌车主那点特权，老百姓的生命安全都可以牺牲吗？,0,2020-02-15 11:55
https://weibo.cn//u/5633250074,有字先生,男,河南,309,100,194,造谣的人都是些无稽之谈的人，喜欢无中生有！,0,2020-02-15 11:25
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901, 邀您一起来捉谣，并再次呼吁请广大网民不造谣、不传谣、不信谣，未经证实的消息不盲目传播。让我们一起粉碎谣言，传播网络正能量！ ,2,2020-02-15 11:22
https://weibo.cn//u/2843411253,lqbaobao18,女,上海,1188,305,68,你们也是心累,0,2020-02-15 10:36
https://weibo.cn//u/5975300669,纯真的zhnzj,男,上海,346,4419,2586,不信谣不传谣,0,2020-02-15 09:14
https://weibo.cn//u/1192169502,布衣候1998,男,山东,1181,465,223,不造谣，不信谣，不传谣。,0,2020-02-15 08:54
https://weibo.cn//kfqpolice,东营经济技术开发区公安,男,山东,1332,68,707,【,0,2020-02-15 08:45
https://weibo.cn//u/2736362127,低空飝行,男,北京,6507,644,391,训诫么？,0,2020-02-15 08:22
https://weibo.cn//u/5458491937,thisisbeauty,女,其他,1088,1114,6,有,0,2020-02-15 08:14
https://weibo.cn//u/5458491937,thisisbeauty,女,其他,1088,1114,6,还,0,2020-02-15 08:14
https://weibo.cn//u/2519440017,慈俭弘愿,男,海南,1246,2052,154,加油,0,2020-02-15 05:25
https://weibo.cn//u/5867820375,我是辛爸,男,其他,1472,274,384,视频证据！！！！！,0,2020-02-15 04:58
https://weibo.cn//u/5867820375,我是辛爸,男,其他,1472,274,384, 是🐴女表小号！,0,2020-02-15 04:55
https://weibo.cn//u/3929511061,想爱你长长久久,女,江西,113,437,203,     举报             赞[0]         回复             2020-02-15 01:23:01 来自网页,0,2020-02-15 01:23
https://weibo.cn//u/1593712460,人生可乐,男,河南,897,684,1106,什么是谣言，谁又来判定谣言,0,2020-02-15 00:29
https://weibo.cn//u/7289444936,亚琼2000,男,其他,78,207,7,国泰民安,0,2020-02-15 00:13
https://weibo.cn//u/1445364662,无尘车间设计室,女,海外,896,1085,19799,使用他人头像，使用李文亮医生头像不合法吧？ ,0,2020-02-14 22:58
https://weibo.cn//pengchunxiong,想念熊喵了个咪的,男,广东,5781,1164,533,首都网警是不是只管首都北京的？,0,2020-02-14 22:54
https://weibo.cn//u/1319406351,PRC人民,男,其他,357,83,102,目前所有疫情的谣言，最多拘留十天，所以有恃无恐,0,2020-02-14 22:34
https://weibo.cn//u/6157551146,九月红梅开,女,广东,7073,918,87,转发微博,0,2020-02-14 21:52
