评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2103463787,数字教育探路者,男,北京,1281,312,691,这是湖北和武汉政府在疫情初期不实事求是，导致的政府公信力下降，让一些敌对分子有机可乘了。公信力建立起来很难、很慢，但倒塌起来却很快。,35,2020-02-17 21:22
https://weibo.cn//u/1967886123,NOBITA_1985,男,福建,767,307,699,恐怕这不是造谣那么简单吧。，这就是境外敌对分子，在故意使坏。看看太平洋对面的那个就知道了。,16,2020-02-17 22:01
https://weibo.cn//u/3181409332,永州网警巡查执法,男,湖南,20768,401,29443, 武汉病毒研究所陈全姣实名举报所长？真相让人不寒而栗！,2,2020-02-17 22:32
https://weibo.cn//u/6854239940,和WSSR,男,其他,571,657,286,这是轮系组织行为，前几天传媒假教授崔永元又帶着节奏在微信上造谣：质疑新冠病毒泄露于武汉病毒研究所。,1,2020-02-24 09:41
https://weibo.cn//u/6854239940,和WSSR,男,其他,571,657,286,回复@霄樾:轮系反华推易组织。,0,2020-02-24 09:37
https://weibo.cn//u/3489750463,百草堂中药养生,男,宁夏,4956,1113,7866,既然是谣言，为什么微博还要传呢？新京报一而再再而三的传谣居心叵测！,0,2020-02-21 19:48
https://weibo.cn//u/5166340878,cloudy0810,女,新疆,36,90,3,信任这种东西跟镜子一样。,0,2020-02-21 13:45
https://weibo.cn//u/1967886123,NOBITA_1985,男,福建,767,307,699,回复@乡悠顾盼:我印尼的客户说，美利坚厉害的很，送给快退役的战斗机给印尼，不要钱。等飞机要维修的时候，这些零件只有美利坚有，价格是美利坚说的算。我看美国的专家，也是无利不起早。还是醒醒，放弃对美国人援助梦。,0,2020-02-19 09:30
https://weibo.cn//u/6529931340,cherrykoko198510,男,其他,1,194,13,回复@概念云工作室:应该多发发这样的截图，提醒更多网友防范,0,2020-02-19 04:19
https://weibo.cn//u/6852583537,十卄卅卌灬,男,其他,3,8,25,玩狼人杀呢咋的？？？来个预言家解惑呗,0,2020-02-18 23:53
https://weibo.cn//u/6550609638,封你没商量2020,女,辽宁,8,345,37,回复@霄樾:我也觉得奇怪，国家都没说有境外势力，有事就拿出来说事呗，下面的人却天天说，还不被删，这些人又是什么居心呢？是不是造谣呢？影响真的很不好，我现在都不知道该信睡得了,0,2020-02-18 23:08
https://weibo.cn//lijinlin85,玉属霖锋_852,女,山东,73,335,53,我关心的是造谣的抓起来了没有,0,2020-02-18 23:04
https://weibo.cn//u/6550609638,封你没商量2020,女,辽宁,8,345,37,回复@数字教育探路者:谁是敌对分子？请拿出证据，这是首都网警的微博@首都网警,0,2020-02-18 23:02
https://weibo.cn//u/7361075138,逗c南波丸丶,男,上海,13,99,36,是真是假咱也不知道，咱能做的就是到此为止，不乱传,0,2020-02-18 22:52
https://weibo.cn//u/2744532510,freeeeeeeeeeeeeeeeeeeeeeeeee,男,宁夏,7687,2172,440, 可怕！这已经不是简简单单的一句谣言止于智者这么简单就能解决的了！,0,2020-02-18 22:29
https://weibo.cn//u/7364285259,坚决反对tiaoli,男,其他,200,241,8,不造谣，不传谣，里面没一句话是真的，就像病毒所石研究员所说，这是上天的惩罚。。。。雪崩时没一朵雪花是无辜的,0,2020-02-18 20:34
https://weibo.cn//u/2282479190,Kimi____wang,男,湖北,1181,187,158,回复@Kimi____wang:唉。。。。。,0,2020-02-18 19:55
https://weibo.cn//u/2350486983,YuFanLiao,男,海外,998,183,357,回复@Kimi____wang:舆论环境不安全，自己的宣传部门能力又差，诶……,0,2020-02-18 19:53
https://weibo.cn//u/2282479190,Kimi____wang,男,湖北,1181,187,158,回复@YuFanLiao:看内容之前看到是海外账户我就直接关了,0,2020-02-18 19:32
https://weibo.cn//u/6174943473,对星狼礼貌点,男,江西,21,40,47,这剧情！不对啊   ？,1,2020-02-18 19:14
