评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6319434481,泽泽泽轩然,男,河北,13,124,13,小米既然来团副总裁截图发微博说华为买黑稿黑小米，带节奏贬低华为和荣耀算不算造谣?还有今天刚发生的卢伟冰再一次打码截图关键信息，把黑稿引到华为头上算不算造谣？,0,2020-02-24 00:41
https://weibo.cn//u/6319434481,泽泽泽轩然,男,河北,13,124,13,小米既然来团副总裁截图发微博说华为买黑稿黑小米，带节奏贬低华为和荣耀算不算造谣?还有今天刚发生的卢伟冰再一次打码截图关键信息，把黑稿引到华为头上算不算造谣？,0,2020-02-24 00:41
https://weibo.cn//u/2198140821,yzlisan,男,江苏,975,840,82,不造谣、不传谣、不信谣，一起慧眼识谣，理性防疫！,1,2020-02-23 10:42
https://weibo.cn//u/7214802004,zidelasiteweijia,男,陕西,80,54,29,传谣的现在不用抓了吗,1,2020-02-22 22:57
https://weibo.cn//u/5386586408,67号喜羊羊,男,辽宁,38729,1157,3730909,不传谣、不信谣。//,0,2020-02-22 17:51
https://weibo.cn//u/7004962822,独影孤旅,男,湖南,1677,1049,530,加强除谣，永不漏网,0,2020-02-22 17:49
https://weibo.cn//ganxiaodehaizi,琴心剑胆的温馨小屋,女,北京,63106,1613,83089,转发微博,0,2020-02-22 17:48
https://weibo.cn//u/5607719044,http451,男,上海,528,236,173,Repost,0,2020-02-22 16:52
https://weibo.cn//u/5995114404,林小妖高考nb,女,山西,128,139,150,@亏欦,0,2020-02-22 16:49
https://weibo.cn//u/6338780698,阿茶被骗后的记录,女,贵州,138,218,26,不信谣不传谣,0,2020-02-22 16:03
https://weibo.cn//920050929,福阿哥的茶寮,男,北京,89020,2869,7124, 不造谣，不信谣，不传谣。,0,2020-02-22 15:30
https://weibo.cn//u/6776065651,用户若尘6776065651,女,山西,2418,942,1191,支持首都网警！已转发到朋友圈！,0,2020-02-22 15:12
https://weibo.cn//u/7324553776,北京东城居民,男,北京,10501,548,1115,不造谣、不传谣、不信谣，一起慧眼识谣，理性防疫！,0,2020-02-22 14:23
https://weibo.cn//u/5721431005,用户征程,男,北京,45980,3502,5643,转发微博,0,2020-02-22 14:17
https://weibo.cn//u/7377014352,衡陽雁处,女,安徽,66,246,13, 虐猫狂人，大家看看他的主页！,1,2020-02-22 13:25
https://weibo.cn//njzhouxian,吉南_,男,江苏,2313,1047,769,造谣生事的抓了几个？,0,2020-02-22 12:46
https://weibo.cn//u/6619605705,frommyopinion,女,其他,29,48,19, 早就过了五百转了  我祝你余生幸福,0,2020-02-22 10:52
https://weibo.cn//u/1935878725,薇薇薇Laura-,女,山东,323,1346,2259,回复@别问问就是拉黑的都是xx:上去,0,2020-02-22 09:47
https://weibo.cn//u/2423326887,Davana,女,广西,29,98,30, ,0,2020-02-22 09:16
https://weibo.cn//u/6408972121,跌进梦境,女,其他,3,471,190,回复@别问问就是拉黑的都是xx:送你上去,0,2020-02-22 01:46
https://weibo.cn//lyawqybz,是禾米米a,女,辽宁,553,437,1617,这些人太逗了，想象力真丰富，制造谣言的你们是不是都想火啊,0,2020-02-21 23:09
https://weibo.cn//u/2628921045,峰峰rfc,女,北京,44306,1108,495,#微博辟谣#,1,2020-02-21 20:50
https://weibo.cn//678001570,皮卡丘一头问号,女,上海,728,702,675,回复@挺ne啊:还拉黑所有骂他的。你看他后来洗白自己的那条微博，转发的都在骂他，评论的都对他表示理解。这种造谣老油条了。,2,2020-02-21 19:15
https://weibo.cn//u/5162221585,牛逼哄哄的能量瓶小伙儿,女,其他,5104,175,215,回复@别问问就是拉黑的都是xx:,1,2020-02-21 19:01
https://weibo.cn//u/5162221585,牛逼哄哄的能量瓶小伙儿,女,其他,5104,175,215,回复@别问问就是拉黑的都是xx:转发抽奖可太给力了,2,2020-02-21 19:01
https://weibo.cn//u/5873553576,so是非,男,四川,16,89,29,我很想知道那些传谣的是什么心思，,0,2020-02-21 17:25
https://weibo.cn//u/5870267510,燕回旧巢空人家_,女,北京,258,551,124,您好。请问这种说法是否是谣言。如果是请问能否举报？该消息在高三学子中迅速流传。 ,4,2020-02-21 15:39
https://weibo.cn//u/7321631541,茉莉是蜜茶,女,其他,0,47,1,那疫情结束倒计时就是真的了？,0,2020-02-21 15:07
https://weibo.cn//u/5678218373,崔光锋,男,北京,1249,2423,425,     举报             赞[0]         回复             2020-02-21 12:02:03 来自网页,0,2020-02-21 12:02
https://weibo.cn//u/5678218373,崔光锋,男,北京,1249,2423,425,回复@传说中的女网警:,0,2020-02-21 11:56
https://weibo.cn//23860060,辽宁交通,男,辽宁,40248,2247,428119,//,0,2020-02-21 11:40
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901,与,4,2020-02-21 10:53
https://weibo.cn//12321jbzx,12321举报中心,男,北京,17260,1782,350542,不造谣、不传谣、不信谣，一起慧眼识谣，理性防疫！,10,2020-02-21 10:27
https://weibo.cn//678001570,皮卡丘一头问号,女,上海,728,702,675,这个当初造谣的，管不管。就是他最先开始的。还转发抽奖。导致很多人转。 ,20,2020-02-21 10:26
https://weibo.cn//ykggaj,营口港公安局,男,辽宁,3679,394,2901, 【,3,2020-02-21 10:21
https://weibo.cn//u/7029720924,酒泉市七里镇分局,男,甘肃,1183,291,37,转发微博,0,2020-02-21 09:28
