评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//gnsqwsfwzx,西城区广内社区卫生服务中心,男,北京,1213,87,230, ,0,2020-03-10 10:36
https://weibo.cn//u/6128388767,老徐fbi,男,上海,107,25,123,我只信央视新闻,0,2020-03-08 14:56
https://weibo.cn//u/1707445562,海旁老叟,男,香港,579,208,85,“院士接种新冠疫苗”是不是谣言？你们管不？,0,2020-03-08 09:37
https://weibo.cn//gnsqwsfwzx,西城区广内社区卫生服务中心,男,北京,1213,87,230, ,0,2020-03-10 10:36
https://weibo.cn//u/6128388767,老徐fbi,男,上海,107,25,123,我只信央视新闻,0,2020-03-08 14:56
https://weibo.cn//u/1707445562,海旁老叟,男,香港,579,208,85,“院士接种新冠疫苗”是不是谣言？你们管不？,0,2020-03-08 09:37
https://weibo.cn//u/6345361959,頭號失趣王,女,湖北,30,375,112,有人公开吸毒,0,2020-03-08 02:18
https://weibo.cn//u/7330951137,雨白qy,女,其他,2,486,20766,有人在发恐怖视频,0,2020-03-08 01:24
https://weibo.cn//527759567,甜胖额,男,辽宁,1353,331,663, 通过,0,2020-03-07 21:33
https://weibo.cn//u/6442636944,会魔法的小凡,女,其他,146,121,2,  看看这个人！！！ 他侮辱女性歧视女生 还发表了很多不良言论 封他号啊！  他还开了个小号,6,2020-03-07 10:55
https://weibo.cn//u/6353557913,樱沫亦彤,女,其他,62,335,9, 这个人侮辱女性，歧视女性，给女性分等级，请您尽快解决这件事，给我们广大群众女性一个交代，网络不是法外之地！！！,3,2020-03-07 01:46
https://weibo.cn//u/1731441154,小冻糕,女,广西,927,568,399,  拜托您看看这个话题 把这个人抓起来 谢谢！！！网络不是法外之地！！！,7,2020-03-06 20:20
https://weibo.cn//u/5406006642,爱的圈圈125,女,北京,260,62,1095,初了官网，别的都不能信,3,2020-03-06 18:08
https://weibo.cn//u/5678218373,崔光锋,男,北京,1249,2423,425,[加油][加油]     举报             赞[0]         回复             2020-03-06 16:54:09 来自网页,0,2020-03-06 16:54
https://weibo.cn//u/5678218373,崔光锋,男,北京,1249,2423,425,回复@传说中的女网警:我亲爱的宝贝老婆媛媛棒棒哒抱抱你亲亲你吻你奥有你真好么么哒我亲爱的宝贝媳妇媛媛好美真好看抱抱你亲亲你吻你奥么么哒,0,2020-03-06 16:44
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901, ,1,2020-03-06 15:04
https://weibo.cn//u/5794875250,baboya95,女,安徽,5,258,135,: 我已经被骗40300元，请你们帮我顶上去，让我得到帮助，我们被骗的人还有很多，请警察叔叔警察姐姐们重视起来！！！！！！,1,2020-03-06 12:19
https://weibo.cn//u/2658395564,期待仔仔周渝民的新剧_大宋宫词,女,广东,75,6,66,  此人 盗取一个外国友人在上海投资的企业账号，拿着别人的账号，到处乱骂，挂别人隐私，各种辱骂，影响恶劣！请严办！,1,2020-03-06 10:52
https://weibo.cn//u/3034590884,素民老张,男,北京,3697,210,520,除官网消息，其他一概不信,3,2020-03-06 10:25
