评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2352301301,仟语晨薇,女,山东,1353,54,335,结果高考确实延期了，而且还是延期到7月,0,2020-11-15 07:29
https://weibo.cn//u/5758990936,姚丛民,男,北京,75650,1613,3060,转发微博,0,2020-03-17 21:20
https://weibo.cn//u/6429464232,无吃无喝一身毒,男,北京,69,1144,222,石家庄新乐市承安铺回头岗村里人干部，派出所无线电波电磁感定位人体肢解控电子电器，定位头里套信息。信号穿刺破坏人体器官，逼人成精神病利用害人声音挑拨，打架 ,0,2020-03-17 05:41
https://weibo.cn//u/2352301301,仟语晨薇,女,山东,1353,54,335,结果高考确实延期了，而且还是延期到7月,0,2020-11-15 07:29
https://weibo.cn//u/5758990936,姚丛民,男,北京,75650,1613,3060,转发微博,0,2020-03-17 21:20
https://weibo.cn//u/6429464232,无吃无喝一身毒,男,北京,69,1144,222,石家庄新乐市承安铺回头岗村里人干部，派出所无线电波电磁感定位人体肢解控电子电器，定位头里套信息。信号穿刺破坏人体器官，逼人成精神病利用害人声音挑拨，打架 ,0,2020-03-17 05:41
https://weibo.cn//u/1652329044,包克图王爷,男,其他,4,818,1323,建议取消黄婧等此类留学生的中国国籍,0,2020-03-16 23:33
https://weibo.cn//u/1941550833,Casual_7_,男,广西,53,1,853,警察同志您好，交易猫app软件扣押我交易款项一个多月没有回应 ,0,2020-03-16 19:35
https://weibo.cn//u/5636952701,求无愧于心微难,女,江苏,5568,751,280,请问什么时候实施网络实名制？我期待是明天！说好3月落实的，都半个月了，怎么还是没有一点点动静。,0,2020-03-16 16:48
https://weibo.cn//ysgacc,英山网警,男,湖北,291,280,206,转发微博,0,2020-03-16 15:05
https://weibo.cn//u/5308385611,笨蛋9527号,男,湖南,22,32,21,爱奇艺旗下节目奇葩说里的辩手邱晨,1,2020-03-16 14:53
https://weibo.cn//u/6365105438,灭世83150,男,其他,1,19,2,回复@秋名山小昕:她的图都是盗的,0,2020-03-16 14:15
https://weibo.cn//u/6365105438,灭世83150,男,其他,1,19,2,回复@秋名山小昕:说啥呢，都被锤了是假的,0,2020-03-16 14:14
https://weibo.cn//u/1944975673,为爱痴狂乱了心房,男,湖北,1596,401,231,您好，有个问题想问下您！发了私信，有空可以看一下么,0,2020-03-16 13:00
https://weibo.cn//dickyjackson,MJ巍巍lovemichael,女,吉林,12958,548,5295,米未传媒首席品牌官，米未传媒艺人邱晨是港独占中头目，支持台独藏独疆独南海，可谓五独俱全，这等触犯我国到分裂法的艺人，要如何处理？,2,2020-03-16 12:53
https://weibo.cn//u/1638778860,真实的独孤剑,男,河北,1295,104,30,唯恐天下不乱者，该打,0,2020-03-16 12:40
https://weibo.cn//u/6029391312,天涯浪子金剑寒梅,男,四川,41083,870,3108,回复@308兵团在线:对,0,2020-03-16 09:19
https://weibo.cn//dickyjackson,MJ巍巍lovemichael,女,吉林,12958,548,5295,邱晨作为参与，支持和策划港毒占中的领袖之一，她已经严重触犯国安法了。她作为公众人物，而且是港毒头子，利用自身强大的社会影响力，向她的粉丝广泛传播港毒思想，极力煽动祖国分裂，这都够判刑了吧！！！,2,2020-03-16 07:01
https://weibo.cn//u/2219251027,308兵团在线,女,台湾,233227,3979,35499,扩散,1,2020-03-15 23:47
https://weibo.cn//u/1788746512,天天种草莓,男,陕西,683,339,611,请依照反分裂法，把港独,5,2020-03-15 21:08
https://weibo.cn//u/5520812532,局座的忠粉超声狗CC,女,安徽,348,174,130,爱奇艺奇葩说的邱晨,4,2020-03-15 20:28
https://weibo.cn//920050929,福阿哥的茶寮,男,北京,89020,2869,7124, ,0,2020-03-15 19:34
https://weibo.cn//u/5575249406,小虫死了6,男,其他,127,424,48,回复@岳如悬:皮松了自己找书皮松松，疼了找狗皮膏药贴一下，不花钱,0,2020-03-15 17:25
https://weibo.cn//u/7411326590,肖战事件受害者之一,女,北京,125,51,6,希望出一期反网暴指南，很多人遭遇网暴但没有及时保护证据链，使得网暴者逍遥法外。,0,2020-03-15 16:49
https://weibo.cn//u/6469238305,开封炒凉粉,男,其他,15,20,3,首都医科大学派遣大三学生奔赴武汉一线，请问这是否合法。微博名  小饼干不要加糖的 请引起重视。,0,2020-03-15 15:07
