评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//cpd2010,中国警察网,男,北京,47481,553,3724280, 举报 赞[2] 回复 2020-06-15 18:52:28 来自网页,2,2020-06-15 18:52
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901,微博辟谣！关于北京疫情，这些都是谣言别信！,2,2020-06-15 18:30
https://weibo.cn//u/5657993818,珠海网警巡查执法,男,广东,23963,576,31465,【关于北京疫情，这些都是谣言别信！】,2,2020-06-15 15:14
https://weibo.cn//u/3700404245,北京通州觅子店健康教育微博,男,其他,12983,98,4043,转发微博,0,2020-06-19 15:59
https://weibo.cn//u/1678306100,lbcanon,男,北京,23702,2241,1974,转发微博,0,2020-06-16 19:53
https://weibo.cn//lnsylzm,lnsylzm,女,辽宁,4082,877,86,不传谣！不信谣！,0,2020-06-16 15:09
https://weibo.cn//u/5991037546,乱世殇人,女,内蒙古,301,107,16, ,0,2020-06-16 13:59
https://weibo.cn//u/5721431005,用户征程,男,北京,45980,3502,5643,转发微博,0,2020-06-16 13:34
https://weibo.cn//u/5268651218,平安河东,男,天津,32980,199,316651,转发微博,0,2020-06-16 12:28
https://weibo.cn//ykggaj,营口港公安局,男,辽宁,3679,394,2901,【关于北京疫情，这些都是谣言别信！】,0,2020-06-16 10:19
https://weibo.cn//lxl1228,月下弹琴声何来,女,北京,20702,813,4916,     举报             赞[0]         回复             2020-06-16 10:02:45 来自网页,0,2020-06-16 10:02
https://weibo.cn//u/7420799894,janePck,女,其他,33,188,6,严惩传谣者，扰乱社会安宁,0,2020-06-16 09:36
https://weibo.cn//u/6272685973,會喝酒的遊子,女,辽宁,14,292,47, ,0,2020-06-16 09:24
https://weibo.cn//u/7086168842,Karry艾丽,女,北京,1453,1443,83,防范于未然……谣言止于智者,0,2020-06-15 23:17
https://weibo.cn//u/6709837635,贞虚公子,男,北京,6985,4065,355,造谣的抓起来按在地下摩擦！,0,2020-06-15 21:07
https://weibo.cn//920050929,福阿哥的茶寮,男,北京,89020,2869,7124, ,0,2020-06-15 19:54
https://weibo.cn//ZGFZPLM,反诈骗志愿者,女,北京,3115,1750,54644, 微博辟谣！关于北京疫情，这些都是谣言别信！,0,2020-06-15 19:07
https://weibo.cn//u/1966369842,qian3721,男,北京,57020,1530,1803,查出造谣者了吗？,0,2020-06-15 19:06
https://weibo.cn//u/3897597103,湾沚警方,女,安徽,7807,274,3095,     举报             赞[0]         回复             2020-06-15 19:04:16 来自网页,0,2020-06-15 19:04
https://weibo.cn//u/5860048579,虎牙直播我是猪头一个,男,广西,1382,190,1291,回复@中国警察网:支持中国警察网,0,2020-06-15 19:00
https://weibo.cn//mstwcj1986,诗人渔童,男,黑龙江,12477,3407,56595,回复@中国警察网:@中国警察网 ！,0,2020-06-15 18:56
https://weibo.cn//cpd2010,中国警察网,男,北京,47481,553,3724279,     举报             赞[2]         回复             2020-06-15 18:52:28 来自网页,2,2020-06-15 18:52
https://weibo.cn//u/5860048579,虎牙直播我是猪头一个,男,广西,1382,190,1291,不信谣不传谣,0,2020-06-15 18:45
https://weibo.cn//u/5860048579,虎牙直播我是猪头一个,男,广西,1382,190,1291,支持首都网警,0,2020-06-15 18:45
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901,微博辟谣！关于北京疫情，这些都是谣言别信！,2,2020-06-15 18:30
