评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5075315540,德行天下AN,男,其他,43017,4975,8542,必须把造谣者绳之以法！,0,2020-07-07 18:28
https://weibo.cn//shdtean,铁道卫士铁路上海站派出所,男,上海,11472,373,1712,03,0,2020-06-25 17:06
https://weibo.cn//u/5075315540,德行天下AN,男,其他,43017,4975,8542,必须把造谣者绳之以法！,0,2020-07-07 18:28
https://weibo.cn//shdtean,铁道卫士铁路上海站派出所,男,上海,11472,373,1712,03,0,2020-06-25 17:06
https://weibo.cn//u/5086286456,大乔帝国国师之咚大,女,河北,727,189,80,这个时候还信谣的真是脑子坏掉了,0,2020-06-23 09:49
https://weibo.cn//u/5540906780,爱祖国的62虎,女,北京,676,451,448,转发微博辟谣,0,2020-06-22 17:29
https://weibo.cn//u/6443596443,Sbgmyaps罗曼史,女,其他,21,100,8,祖国伟大！,0,2020-06-22 03:04
https://weibo.cn//u/7021920665,北宫轩往事呢,女,北京,133,291,34,传播谣言要负法律责任,0,2020-06-19 20:21
https://weibo.cn//u/3890061344,斜阳月微明,女,福建,3202,774,182,辟谣,0,2020-06-19 16:18
https://weibo.cn//u/2438808677,小葡萄和大葡萄,女,天津,40138,1054,2364,转发微博,0,2020-06-17 21:05
https://weibo.cn//920050929,福阿哥的茶寮,男,北京,89020,2869,7124, ,0,2020-06-17 20:50
https://weibo.cn//u/3730056012,定-不负韶华,女,北京,81,111,78,相信政府面对疫情的应对能力，从一开始就没有担心过断粮断菜的事情发生，还特意叮嘱家人不要妥东西,0,2020-06-17 20:17
https://weibo.cn//u/2121112501,孅介,女,福建,32,311,126,这种还有人信吗,0,2020-06-17 14:59
https://weibo.cn//u/7375151712,x战居我心,女,黑龙江,1252,589,17,嗯嗯嗯嗯,0,2020-06-17 14:32
https://weibo.cn//u/5721431005,用户征程,男,北京,45980,3502,5643,转发微博,0,2020-06-17 13:35
https://weibo.cn//u/7363147793,安徽孙世强,男,其他,81,687,9,是真是假？,0,2020-06-17 13:13
https://weibo.cn//txdfh,通渭赵安宁,男,北京,66994,893,1623,     举报             赞[0]         回复             2020-06-17 13:10:24 来自网页,0,2020-06-17 13:10
https://weibo.cn//u/5381579756,碰瓷的你爱豆糊穿地心了,男,江苏,3499,83,149,转发微博,0,2020-06-17 10:57
https://weibo.cn//kongqisong,湘上煮夫,男,河北,3947,323,1904,转发微博,0,2020-06-17 10:49
https://weibo.cn//u/5239408325,cathhwang1982,女,海外,15661,2632,2157,别听风就是雨,0,2020-06-17 10:48
https://weibo.cn//u/6101651147,金色彩虹云,女,福建,2416,257,90, 不信谣、不传谣，,0,2020-06-17 09:20
https://weibo.cn//yilongkuaiyun,一龙快运,男,北京,37583,1013,1017,听政府号令  不传谣,0,2020-06-17 07:50
