评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//sjswsjsjds,石景山卫生监督,女,北京,5895,553,1180,谣言止于智者。持续关注新疆疫情发展，希望新疆尽快传来好消息。,15,2020-07-22 11:45
https://weibo.cn//wolfccb,wolfccb,男,北京,518,191,2349,造谣“新冠病毒是石正丽人工合成”的始作俑者,8,2020-07-22 12:34
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901,微博辟谣！,2,2020-07-22 16:14
https://weibo.cn//pxj666yy,行隶书法和华彩山水,男,四川,2944,344,50548,"面对多灾多难之2020,1要守法2要防贼，3不作狗4须慎重啊须慎重 ！！！",0,2020-07-26 14:19
https://weibo.cn//920050929,福阿哥的茶寮,男,北京,89020,2869,7124, ,0,2020-07-24 19:05
https://weibo.cn//hjzzopen,猫眼影视君vip,男,四川,3283,207,31069,回复@wolfccb:证明呢,0,2020-07-24 09:25
https://weibo.cn//u/1299554943,触情伤景,男,四川,882,300,195,回复@wolfccb:不立案。。。哎。。。,1,2020-07-23 21:51
https://weibo.cn//u/7397657392,红彤彤的梓潼呀,女,河南,53,80,27,@拜托好心人看看我的微博,1,2020-07-23 04:39
https://weibo.cn//u/5334334309,生如浮澐,女,上海,3496,187,22,不信谣不传谣！[加油],1,2020-07-22 22:53
https://weibo.cn//u/2011731475,张家三兄弟,男,河北,76984,1612,6934,转发微博,0,2020-07-22 20:00
https://weibo.cn//wolfccb,wolfccb,男,北京,518,191,2349,回复@中华社公会:看我微博,0,2020-07-22 19:34
https://weibo.cn//u/5879264885,迷路了啊Rjbc,女,其他,145,61,2,因为总是不公开具体的地点，所以大家只能猜了，新疆那么大，兵团那么多，所以听到别人说一句都会怀疑是真的,0,2020-07-22 19:15
https://weibo.cn//u/6028579104,中华社公会,男,河北,141,127,340,回复@wolfccb:你怎么证明人家是造谣？,0,2020-07-22 19:06
https://weibo.cn//u/5721431005,用户征程,男,北京,45980,3502,5643,转发微博,0,2020-07-22 17:15
https://weibo.cn//u/5657969354,洓曰兀兀穷年,男,山东,8,30,28,725394874网警叔叔这是个游戏诈骗群，我昨天被骗了九百元,0,2020-07-22 17:10
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901,微博辟谣！,2,2020-07-22 16:14
https://weibo.cn//u/5394183920,我向好人学习,男,北京,5237,175,221,听警察叔叔的话，不传谣,0,2020-07-22 15:21
https://weibo.cn//u/6334743280,暖心呆桃兔,女,黑龙江,1796,351,135,请勿传谣，擦亮双眼,0,2020-07-22 14:56
https://weibo.cn//u/3836562710,辉夜月舞萤,男,北京,33,307,50,抓的好，造谣扰乱社会秩序的，严惩！,0,2020-07-22 14:20
https://weibo.cn//u/5501994158,俯视忘川DAYTOY,女,海外,3261,268,74,这时候散布谣言到底想什么，真够添乱的。相信自己的祖国传谣不信谣。,1,2020-07-22 13:13
https://weibo.cn//u/7372242779,无痕sln,女,山东,3926,224,19,净网必须从严,2,2020-07-22 13:12
https://weibo.cn//u/5887576260,嗨来吧来吧201308,男,四川,3481,660,3786,惩罚太轻！！,2,2020-07-22 12:54
https://weibo.cn//u/6309944024,陇东老袁,男,甘肃,2,555,42,马某处罚有点轻啊！是因为姓马吗？这是造谣吗？,0,2020-07-22 12:51
https://weibo.cn//u/6046422863,长安女如意,女,福建,1426,170,50,相信党和国家，谣言就是谣言！,2,2020-07-22 12:44
https://weibo.cn//u/2521588595,韭菜味儿的香水儿,女,北京,1005,659,229,我感觉闻到了阴谋的味道,0,2020-07-22 12:35
https://weibo.cn//wolfccb,wolfccb,男,北京,518,191,2349,造谣“新冠病毒是石正丽人工合成”的始作俑者,8,2020-07-22 12:34
https://weibo.cn//u/5328126483,dfght12345,男,上海,5266,925,99,抓起来坏怂,1,2020-07-22 12:12
https://weibo.cn//u/7119323328,经典bot,男,江苏,6037,428,7343,都踏马谁吃饱了撑的整天搞些破玩意，觉得牢饭好吃？,1,2020-07-22 12:05
https://weibo.cn//u/6332711024,草莓甜夜闹乌龙,女,北京,3,93,5,回复@北京市石景山区卫生健康监督所:🙏🏻,0,2020-07-22 11:48
https://weibo.cn//u/5023266201,juelideyitian,女,北京,35476,685,530,辟谣！,0,2020-07-22 11:45
https://weibo.cn//sjswsjsjds,石景山卫生监督,女,北京,5895,553,1180,谣言止于智者。持续关注新疆疫情发展，希望新疆尽快传来好消息。,15,2020-07-22 11:45
https://weibo.cn//u/5203905361,CoelhoFofinho,女,其他,6745,849,2881,叹气。,1,2020-07-22 11:41
https://weibo.cn//yearsharesaffairs,那年那兔那些事儿吧,女,北京,4545,515,51140,一定要注意甄别,0,2020-07-22 11:41
https://weibo.cn//u/6280832893,小猫咪超可爱鸭,男,广东,716,260,67,不信谣不传谣相信国家！！！！！！！！！,0,2020-07-22 11:41
