微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JyoZ7tDBR,【#武汉一小区紧急隔离是在拍电影#：拍的是电影《中国医生》 】近日，湖北武汉。有网友在社交平台上发布短视频，称武汉一小区临时封闭，身穿防护服的医护人员在这里全员排查，视频中有救灾帐篷、警车、身穿防护服的人员等出现。据长江日报报道，该视频实为电影《中国医生》拍摄场景，剧组已发布声明辟谣，未来数天还将在江岸区部分小区取景。http://t.cn/A6q5C5Nk via澎湃新闻 ,,无,无,TRUE,无,无,2020/12/14 11:11,窗 - 魅族 PRO 7,12,6,34,3
JxvhBuasn,"转发理由:【不信谣、不传谣！#成都辟谣实施封城#】  
原始用户: 人民日报
转发内容: 【不信谣、不传谣！#成都辟谣实施封城#】据封面新闻，于成都市出现新冠肺炎患者一事，12月8日，网传“成都卫健委：将视情况采取措施，不排除实施封城。”12月8日，成都市卫健委宣传处回应，截至目前，没有发布类似消息。http://t.cn/A6qAZg5X  原图 ",,无,http://wx2.sinaimg.cn/large/0033ImPzly1glgb3m7qchj60ey0fjgox02.jpg,FALSE,无,无,2020/12/8 13:23,窗 - 魅族 PRO 7,19,9,28,1
Jo50IkvSK,【网络谣言令人深恶痛绝！近两成网友坦言因难以辨别可能上当转发“助攻”】#网络信息内容生态治理# “造谣一张嘴，辟谣跑断腿。”在互联网时代，辨别虚假信息的难度更大，网友对网络谣言意见最大。近期在新华网组织的问卷调查中，16.4万网民投票结果显示，有超过七成网民认为上网最需要注意“依法依规，不发虚假信息”“不信谣不传谣”。遇到可以辨别的谣言，有近六成会选择直接举报。有近两成网民表示，网络谣言辨别有难度，上当转发“助攻”也是有可能的。网络谣言危害多多，几成网络公害，且辟谣、社区治理往往追不上传谣污蔑者的脚步。对此你怎么看？@半月谈 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/bd1575a0ly1gjgq9rfqo1j20qz0bjq4y.jpg,http://ww4.sinaimg.cn/large/bd1575a0ly1gjgq9rqekyj20u00aowgl.jpg",无,TRUE,无,无,2020/10/7 13:57,窗 - 魅族 PRO 7,39,12,15,2
JbUJujnrr,【#美主持人辟谣口罩藏5G天线且致癌#】“赶紧丢掉你的口罩！里面有根5G天线能控制你并且患上脑癌！”近日，美国社交媒体上广泛流传着这样的内容。美国一节目对此言论进行辟谣，“这样的说法没有任何科学依据！”主持人提醒，口罩“不仅不包含5G天线，而且你不能用它来下载任何东西或打电话”，口罩的唯一好处“就是保护你和其他人免受病毒的传播。”http://t.cn/A6yQDIgF#美国民众怀疑口罩鼻梁条是5G天线# ,,无,无,TRUE,无,无,2020/7/19 13:43,无,8,4,16,2
IBXBX1MTr,【“5G导致新冠”阴谋论盛传 两座信号塔被烧 英国：完全一派胡言，胡说八道】近日，分别位于英国伯明翰和英国默西塞德郡的两座5G信号塔遭人放火破坏，目前起火原因仍在调查中，但“5G造成新冠病毒传播”的阴谋论正在社交媒体传播。对此，英国数字、文化、媒体和体育部在社交媒体发文辟谣称：“没有可信的证据表明5G和新冠病毒有关。”而英国内阁办公室部长迈克尔·戈夫更是在发布会上表示这是一个“这完全是一派胡言。”英国国民医疗服务体系医疗主任斯蒂芬·鲍伊斯则指责这是一种“最差劲的假新闻”。#英国两座5G信号塔因谣言被烧#http://t.cn/A6ZuF9Ds http://t.cn/RyhQhyT 显示地图 ,,无,无,TRUE,无,http://t.cn/RyhQhyT,2020/4/5 22:06,HUAWEI P30,4,2,1,1
IBAPobKYV,【#山东小伙连续隔离三次#消息不实 本人否认炒作，视频已删】#山东连续隔离三次小伙否认炒作#4月1日，一段“山东小伙连续隔离三次”的视频在多个网络平台上火了起来。红星新闻此前联系上视频中的柏先生，他称自己31岁，之前从事自媒体行业，做过网络推广方面的工作，最近写了很多搞笑段子，并称视频内容真实。2日下午，红星新闻记者从济宁泗水县新型冠状病毒肺炎疫情防控指挥部了解到，视频中的男子实际回国时间是1月30日，他的邻居和哥哥回国时间分别为2月27日和2月29日，仅仅相差2天。也就是说，不可能接连被隔离三次。目前，柏先生在短视频平台上的几则视频均已删除。#女子登机发现只有自己一名乘客##多地中国留学生晒健康包#  http://t.cn/A6ZWk6tb http://t.cn/RyhQhyT 显示地图 ,,无,无,TRUE,无,http://t.cn/RyhQhyT,2020/4/3 12:06,HUAWEI P30,0,1,2,3
IBAEbsb6T,#教育部辟谣取消6月份四六级考试# ，距离四六级考试还有时间。收下这份人民日报总结的，四六级最常考100个中国传统文化名词！助你拿下高分  高密市  显示地图 [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/bd1575a0ly1gdgfeun3o4j20c80f33zr.jpg,http://ww2.sinaimg.cn/large/bd1575a0ly1gdgfev0kzxj20c80f0gmv.jpg,http://ww4.sinaimg.cn/large/bd1575a0ly1gdgfevb3hwj20c80iijsz.jpg,http://ww2.sinaimg.cn/large/bd1575a0ly1gdgfevm6osj20c80dfdgw.jpg,http://ww3.sinaimg.cn/large/bd1575a0ly1gdgfevwk9nj20c80f0dh2.jpg,http://ww4.sinaimg.cn/large/bd1575a0ly1gdgfew864qj20c80f9wfr.jpg,http://ww3.sinaimg.cn/large/bd1575a0ly1gdgfewlby0j20c80flgn0.jpg,http://ww4.sinaimg.cn/large/bd1575a0ly1gdgfex3q2ej20c80fujso.jpg,http://ww4.sinaimg.cn/large/bd1575a0ly1gdgfexjz8aj20c80gidh7.jpg",无,TRUE,无,#教育部辟谣取消6月份四六级考试#,2020/4/3 11:39,HUAWEI P30,5,2,0,1
IBkYOof8j,【#多地出现抢米抢油# 辟谣：别盲目跟风抢购】#多地辟谣称不必抢米抢油#近日，黄冈、宜昌、鄂州等地出现抢购粮油现象。为此，当地3月31日均发布辟谣提醒，不要再盲目跟风“抢米抢油”。黄冈表示，散布粮油紧张的虚假信息，是否是个别不良商户为促销库存物资所为，正在调查之中。鄂州市市场监督管理局表示，全市粮油库存充足，能够满足群众正常需求。宜昌提醒，夏季马上来临，大米面粉容易变质，请大家理性消费。（李金磊）  http://t.cn/RyhQhyT 显示地图 [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/bd1575a0ly1gdei8v7uzgj20u01dzq79.jpg,http://ww4.sinaimg.cn/large/bd1575a0ly1gdei8vuf5lj20iv08cdgi.jpg,http://ww4.sinaimg.cn/large/bd1575a0ly1gdei8w6r4xj20ga0indhw.jpg",无,TRUE,无,http://t.cn/RyhQhyT,2020/4/1 19:46,HUAWEI P30,0,1,1,1
IBkdbe5lU,【#马云称网上谣言不足为信#没收到质量投诉，没被拒绝捐赠】针对日前传言，刚刚，马云更新个人微博辟谣称，基金会对捐赠的每一批物资都经过严格筛选，先后向国内抗疫一线医院以及海外140多个国家和地区捐赠了近一亿件、几十种门类的物资，至今没有收到任何接受单位关于质量或者其它问题的投诉，也没有被任何国家和机构拒绝过捐赠，网上谣言不足为信。 http://t.cn/RyhQhyT 显示地图 原图 ,,http://wx4.sinaimg.cn/large/bd1575a0ly1gdeeusc0rgj20u02oyncl.jpg,无,TRUE,无,http://t.cn/RyhQhyT,2020/4/1 17:48,HUAWEI P30,2,4,1,2
IBas45xMR,#微博辟谣##抗击新型肺炎第一线#【3月29-31日微博辟谣重要信息汇总】【重要辟谣】@北京日报：北京“健康宝”采集个人位置信息？官方辟谣。http://t.cn/A6ZSyILt@天津辟谣：感染新冠需终身服药？谣言！http://t.cn/A6ZSyI2j【综合性辟谣】@捉谣记：3月十大网络谣言出炉，别再被这些网传消息引导情绪了。http://t.cn/A6ZSyI2W@中国互联网联合辟谣平台：上周热传四类谣言，擦亮眼睛以防中招！http://t.cn/A6ZSyI2T@中国互联网联合辟谣平台：最新疫情谣言汇总。http://t.cn/A6ZSyI2X@药葫芦娃：蛋白粉可预防新冠肺炎？不能！http://t.cn/A6ZSyI2R@药葫芦娃：α-干扰素能预防新冠肺炎？不能！http://t.cn/A6ZSyIL2【地方及公安网警辟谣】@中国长安网：杭州西湖区两个集中隔离人员出逃？警方：46岁女子捏造不实信息被行政拘留。http://t.cn/A6ZSyI2o@平安杏花岭：关于网传17岁留学生拒绝隔离的情况通报：并非本人系其弟弟。http://t.cn/A6ZtxOiN@中国新闻网：官方辟谣网传深圳口岸被挤爆。http://t.cn/A6Z5nyGn@西安网警巡查执法：西安某小区发生冒充防疫人员入户抢劫系谣言。http://t.cn/A6ZSyI2a@天津发布：4月8日起天津分批错峰开学？市教委回应网传文件系伪造。http://t.cn/A6ZSyI2u@平安重庆：疫情期间，重庆不会严查酒驾？谣言，别信！http://t.cn/A6ZSyI23@西安网警巡查执法：网传八仙庵一诊所内有道士得冠状病毒被被拉走了？假的！http://t.cn/A6ZSyI2n@麻城市公安局：网传“2020年3月30日06：00时起，麻城市将实行交通管制”是谣言！http://t.cn/A6ZSyI2Y@上海杨浦：上海市杨浦区一小区境外输入病例被带走？谣言。http://t.cn/A6ZSyI2N@劳动报社：上海玉佛城小区发现台湾输入确诊病例？回应：谣言！http://t.cn/A6ZSyILy@长春发布：网传吉林省高三4月7日开学时间延后，假的！http://t.cn/A6ZSyI2p@重庆网警：观音桥九街新增6名确诊病例，密切接触者117人？假的！http://t.cn/A6ZSyI2C@泉州网警巡查执法：有人借疫情穿着防护服上门打劫？非本地案例！http://t.cn/A6ZSyI21@金山传播：上海一KTV出现漏网之鱼，造成全市KTV停业？谣言！http://t.cn/A6ZSyIGI@安阳市教育局：我市开学时间暂未确定！http://t.cn/A6ZSyIGt@中国互联网联合辟谣平台：大批留学生取道东南亚入境？假的！http://t.cn/A6ZSyIGf@金华公安：永康市接收300人青田华侨隔离14天任务？假的！http://t.cn/A6ZiYIR9@南方都市报：梅县警方辟谣“梅城某酒店做海外人员隔离酒店”：正追查传播源头。http://t.cn/A6ZSyIGX@上观新闻：上海一家全季酒店被征作病房？呼吸机都进去了？记者求证：没有的事。http://t.cn/A6ZSyIG6@警民直通车-上海：上海未发生过“假冒防疫人员抢劫”类似案件。http://t.cn/A6ZSyIGM@即墨路街道办事处：网传“晓港名城二期新增四例奥地利输入性病例，涉及密切接触者69名”系谣言！http://t.cn/A6ZSyIGV@微博政务 协同全国网警巡查执法矩阵共同支持。 http://t.cn/RyhQhyT 显示地图 [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/bd1575a0ly1gdd7rkxsc3j20g50fp0w6.jpg,http://ww2.sinaimg.cn/large/bd1575a0ly1gdd7rlhzj1j20g30i8n0f.jpg,http://ww4.sinaimg.cn/large/bd1575a0ly1gdd7rlwinrj20g40de0ux.jpg",无,TRUE,无,http://t.cn/RyhQhyT,2020/3/31 16:58,HUAWEI P30,0,1,0,1
