评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5402659538,鹿唯阿,女,北京,985,117,107,能不能管一下绥化下面的海伦市，个别小区还是天天出去得瑟，还有来串门的，我特么的都服了，最近出去的人越来越多，说话就说话，还得把口罩拽下来说，还有不带口罩的，在楼下聚集签字的，这都是些什么？管管小地方吧，制度一点都不严,0,2020-02-12 10:58
https://weibo.cn//u/5901451045,HM羽婔,女,黑龙江,4,50,18,辛苦,0,2020-02-12 10:53
https://weibo.cn//u/3167264575,琉姩712,女,北京,88,67,11,回复@鹿晗大大阿:举报，留着过下一个年啊,0,2020-02-12 12:38
https://weibo.cn//u/5654147427,鵺色墨心,女,其他,4607,195,343,回复@你所见的未必是真实的:抚远,0,2020-02-12 12:28
https://weibo.cn//uc83808734,你所见的未必是真实的,男,其他,15059,190,1450,回复@鵺色墨心:漠河？黑河？抚远？绥芬河？,0,2020-02-12 12:24
https://weibo.cn//u/5654147427,鵺色墨心,女,其他,4607,195,343,回复@你所见的未必是真实的:我们黑龙江边境也是一家一个通行证，你这见识也太晚了点,1,2020-02-12 12:16
https://weibo.cn//uc83808734,你所见的未必是真实的,男,其他,15059,190,1450,回复@鹿晗大大阿:知足吧  我现在在三亚  外出必须带社区发的通行证  长这么大 第一次见识了传说中的“良民证”而且这证一家才有一个！,0,2020-02-12 12:03
https://weibo.cn//u/5402659538,鹿唯阿,女,北京,985,117,107,回复@鹿晗大大阿:@人民日报 @黑龙江发布 @中国新闻网,0,2020-02-12 11:00
https://weibo.cn//u/5402659538,鹿唯阿,女,北京,985,117,107,能不能管一下绥化下面的海伦市，个别小区还是天天出去得瑟，还有来串门的，我特么的都服了，最近出去的人越来越多，说话就说话，还得把口罩拽下来说，还有不带口罩的，在楼下聚集签字的，这都是些什么？管管小地方吧，制度一点都不严,0,2020-02-12 10:58
https://weibo.cn//u/5901451045,HM羽婔,女,黑龙江,4,50,18,辛苦,0,2020-02-12 10:53
https://weibo.cn//u/6694038203,luhonglin,男,黑龙江,242,282,11,患难及困苦，是磨炼人格的最高学府,0,2020-02-12 10:28
https://weibo.cn//u/2035398477,怪侠欧阳帅,女,黑龙江,988,411,169,齐齐哈尔新增一例是哪里的,0,2020-02-12 09:49
