评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2672915667,CT石头三哥,男,其他,593,234,153,我们不要信谣传谣。那你倒是把不是谣言的情况发布出来告诉大家啊。公开，透明，一切谣言自然就会终结。,335,2020-01-30 23:09
https://weibo.cn//u/1949096071,阿哑哑阿够够,女,江苏,408,387,503,自己又不公布，又叫人别瞎传，真的无语。。。,169,2020-01-30 23:40
https://weibo.cn//578422445,左岸风语,男,江苏,442,1566,291,那是不是打马赛克的是真的,64,2020-01-30 23:31
https://weibo.cn//u/6225315374,垚垚11小宅女,女,江苏,13320,61,6,这条微博不错，转发给大家！,0,2020-03-26 21:53
https://weibo.cn//dingjiaqiao2013,丁家桥社区,女,江苏,47470,378,1146,丁家桥社区分享鼓楼微讯丁家桥社区分享精彩微博,0,2020-02-20 10:48
https://weibo.cn//u/6268584850,凤凰街道凤凰熙岸社区,男,江苏,31008,69,1367,和会街？环宇城？深业滨江半岛？假的！,0,2020-02-06 15:46
https://weibo.cn//u/3188156600,彩甜妹妹,女,其他,6222,125,72,关注,0,2020-02-05 19:31
https://weibo.cn//u/3857061900,南京市三牌楼社区,男,江苏,79912,963,2256,关注鼓楼微讯，了解最新资讯,0,2020-02-05 15:58
https://weibo.cn//u/1756381087,月牙湖畔月芽弯,女,天津,1180,186,458,打脸,0,2020-02-05 15:32
https://weibo.cn//u/3188156600,彩甜妹妹,女,其他,6222,125,72,关注,0,2020-02-05 10:20
https://weibo.cn//u/5812481331,无锋不起浪2015,男,江苏,31839,154,1801,辟谣啦,0,2020-02-04 15:26
https://weibo.cn//u/2843305735,鼓楼东炮台社区,男,江苏,25888,378,652,关注鼓楼微讯，关注防疫动态,0,2020-02-04 11:26
https://weibo.cn//u/5846070028,周小姐妞子,女,江苏,28680,207,51,官方辟谣啦，大家不要恐慌。,0,2020-02-03 20:21
https://weibo.cn//u/2711419663,世茂滨江社区,男,江苏,66488,375,2108,转发微博,0,2020-02-03 11:45
https://weibo.cn//u/3188156600,彩甜妹妹,女,其他,6222,125,72,关注,0,2020-02-03 02:46
https://weibo.cn//u/2709829675,热河南路三汊河社区,女,江苏,91138,969,1513,官方辟谣啦，大家不要恐慌,0,2020-02-02 23:27
https://weibo.cn//u/1842837243,背着太阳的馨馨,女,江苏,1790,103,39,回复@辛儿宝宝:假的,0,2020-02-02 20:10
https://weibo.cn//u/5801360878,南京市鼓楼区江东街道睿城社区,女,江苏,48554,148,1121,和会街？环宇城？深业滨江半岛？假的！,0,2020-02-02 15:44
https://weibo.cn//jinchuanhuayuan,金川花苑社区,女,江苏,36919,109,597,关注鼓楼微讯，关注身边事,0,2020-02-02 14:53
https://weibo.cn//u/3853469650,工人新村社区,男,江苏,50038,27,827,官方辟谣啦，大家不要恐慌,0,2020-02-02 10:07
https://weibo.cn//u/3853469650,工人新村社区,男,江苏,50038,27,827,官方辟谣啦，大家不要恐慌。,0,2020-02-02 10:07
https://weibo.cn//u/3857061900,南京市三牌楼社区,男,江苏,79912,963,2256,鼓楼微讯展现鼓楼风采，传递鼓楼情怀。,0,2020-02-02 09:49
https://weibo.cn//u/2709829675,热河南路三汊河社区,女,江苏,91138,969,1513,官方辟谣啦，大家不要恐慌,0,2020-02-01 23:31
https://weibo.cn//u/7269827237,嘉微1669162666,女,江苏,43,278,68,😊🙏,0,2020-02-01 20:25
https://weibo.cn//u/7269827237,嘉微1669162666,女,江苏,43,278,68,回复@阿哑哑阿够够:😊,0,2020-02-01 20:24
https://weibo.cn//u/5846070028,周小姐妞子,女,江苏,28680,207,51,官方辟谣和会街？环宇城？深业滨江半岛？假的！,0,2020-02-01 20:05
https://weibo.cn//u/1948430607,范范范yu,女,江苏,18313,268,83,辟谣,0,2020-02-01 19:04
https://weibo.cn//u/3858195317,青石村社区家园,女,江苏,95492,250,1593,官方辟谣啦，大家不要恐慌。,0,2020-02-01 17:26
https://weibo.cn//u/5270267967,戴其春123,男,其他,7020,90,664,辟谣,0,2020-02-01 17:00
https://weibo.cn//u/6616182853,迷茫97204,女,其他,3820,47,13,好微博大家一起分享,0,2020-02-01 16:10
https://weibo.cn//u/7278763607,f大小姐f,男,其他,7,161,4,回复@香豌豆33:求私,0,2020-02-01 14:18
https://weibo.cn//u/3857061900,南京市三牌楼社区,男,江苏,79912,963,2256,好微博要分享，大家记得关注哦,0,2020-02-01 14:07
https://weibo.cn//u/3867975196,新门口社区,女,江苏,92540,60,691,转发微博,0,2020-02-01 14:04
https://weibo.cn//u/5251253280,天琦687888,女,江苏,3649,10,16,关注鼓楼微讯，了解最新资讯！,0,2020-02-01 11:44
https://weibo.cn//u/3488794264,小市街道张王庙社区,女,江苏,46474,241,579,和会街？环宇城？深业滨江半岛？假的！,0,2020-02-01 11:26
https://weibo.cn//u/6268584850,凤凰街道凤凰熙岸社区,男,江苏,31008,69,1367,和会街？环宇城？深业滨江半岛？假的！,0,2020-02-01 11:14
https://weibo.cn//u/1188046741,挹江门街道-鲁迅园社区,男,江苏,55662,121,1608,辟谣,0,2020-02-01 09:52
https://weibo.cn//u/7003470589,谈什么恋爱搞钱呀,女,江苏,61,400,188,回复@ScarlettYAWENGU:爱达花园紫藤园,1,2020-02-01 08:32
https://weibo.cn//u/5659348634,貌人不美不恶,男,陕西,36,348,73,就是啊，把真相公布出来，25例到底在哪个小区？有哪些活动范围？接触了哪些人？,0,2020-02-01 06:51
https://weibo.cn//u/6628479723,小绿间长红_,女,江苏,11770,143,64,//,0,2020-02-01 00:28
https://weibo.cn//u/5752661024,fan小森,男,江苏,7907,72,349,//,0,2020-02-01 00:23
https://weibo.cn//u/3555489464,卿酒酒Sally123,女,江苏,65,105,22,金陵小区宝象花园的啊是真的啊,0,2020-02-01 00:23
https://weibo.cn//u/7313447874,xiaosheng54321,男,江苏,8796,40,1052,//,0,2020-02-01 00:20
https://weibo.cn//u/5812721488,好玩的名字都被别人用了,男,江苏,10062,93,1959,//,0,2020-02-01 00:16
https://weibo.cn//tianshen1992,NviBlue,男,江苏,458,332,214,回复@阿哑哑阿够够:是谣言，假消息还要公布什么？,0,2020-02-01 00:09
https://weibo.cn//u/5581401106,西米86014,男,其他,574,616,139,回复@香豌豆33:求图,0,2020-02-01 00:08
https://weibo.cn//u/2293173524,大兔子小兔兔,男,重庆,992,112,631,那麼，哪裡發現了呢？,0,2020-01-31 23:58
https://weibo.cn//u/3860103106,南京天正和鸣社区,女,江苏,78031,245,1766,//,0,2020-01-31 23:56
https://weibo.cn//u/3879536193,江东街道宝地园社区,男,江苏,49677,212,1297,关注转发鼓楼微讯！,0,2020-01-31 23:53
https://weibo.cn//u/5581401106,西米86014,男,其他,574,616,139,请不要打马赛克,0,2020-01-31 23:53
https://weibo.cn//u/2415607284,滴吧滴滴豆豆,男,其他,489,225,192,回复@我是佳文吖:怎么感觉是个广东人的口音,0,2020-01-31 23:37
https://weibo.cn//u/5462576652,我是佳文吖,女,江苏,62,80,39,回复@滴吧滴滴豆豆:水发规划设计,0,2020-01-31 23:23
https://weibo.cn//u/2709829675,热河南路三汊河社区,女,江苏,91138,969,1513,和会街？环宇城？深业滨江半岛？假的！,0,2020-01-31 23:22
https://weibo.cn//u/1795270670,ScarlettYAWENGU,女,江苏,3356,500,942,回复@翠打果嘴她的烂:哪啊,0,2020-01-31 23:15
https://weibo.cn//u/3880760748,城河村社区,男,江苏,30947,40,398,好微博要分享，大家记得关注哦,0,2020-01-31 23:13
https://weibo.cn//u/2105172301,聚福园社区,男,江苏,82721,124,1187,辟谣！,0,2020-01-31 23:05
https://weibo.cn//u/5537824630,淡而无味爱自己,女,江苏,3117,151,5,辟谣,0,2020-01-31 23:05
https://weibo.cn//u/6723259294,时光静好98910,男,其他,17676,37,2080,关注,0,2020-01-31 22:29
https://weibo.cn//seforee,seforee,女,江苏,1507,664,303,回复@是你的书呀:徐庄应该是真的,0,2020-01-31 22:29
https://weibo.cn//u/3883717609,天天TT_36048,女,江苏,13438,80,20,辟谣,0,2020-01-31 22:10
https://weibo.cn//u/3774744573,稻荷蓝sama,男,江苏,14452,62,1721,都是谣传,0,2020-01-31 21:54
https://weibo.cn//u/5981365302,家有可爱琴,男,江苏,62,196,31,回复@鲤鱼王的琴夫人:害怕,0,2020-01-31 21:53
https://weibo.cn//u/5812481331,无锋不起浪2015,男,江苏,31839,154,1801,不信谣，不传谣,0,2020-01-31 21:43
https://weibo.cn//u/1188046741,挹江门街道-鲁迅园社区,男,江苏,55662,121,1608,辟谣,0,2020-01-31 21:23
https://weibo.cn//u/2815396350,凤凰街道教工新村社区,男,江苏,55913,137,1046,最新的资讯，分享给大家,0,2020-01-31 20:59
https://weibo.cn//sshysq,幕府山盛世花园社区,男,江苏,75676,540,1513,转发,0,2020-01-31 20:51
https://weibo.cn//u/3990290114,伍宝安康,女,其他,12739,328,136,回复@舜天一起战斗-哈哈哈:好像是只有几个，没有全部的,0,2020-01-31 20:39
https://weibo.cn//u/5846070028,周小姐妞子,女,江苏,28680,207,51,大家都来关注一下,0,2020-01-31 19:53
https://weibo.cn//u/1819196294,宅修的小九,女,江苏,2656,206,269,"光辟谣,那你倒是公布详情啊，啥都不说，更恐慌",0,2020-01-31 19:17
https://weibo.cn//572728619,陈菇凉是个凹凸曼,女,江苏,3873,455,1144,徐庄呢,0,2020-01-31 19:03
https://weibo.cn//u/1406661860,紫铜火锅1,女,江苏,32317,62,62,辟谣,0,2020-01-31 18:26
https://weibo.cn//u/6482595142,积极的满足,男,其他,0,119,21,真相公布一下,0,2020-01-31 18:22
https://weibo.cn//u/1640349201,舜天一起战斗-哈哈哈,男,江苏,4052,1076,421,回复@阿哑哑阿够够:唉，南京市其实是公布患者的活动路线的，你可以去南京发布的微博上看看,0,2020-01-31 18:21
https://weibo.cn//u/1651699677,请叫我茜大大_dada,女,江苏,1478,813,260,倒是公布出来啊,0,2020-01-31 18:11
https://weibo.cn//xiaoyuhey,隔壁顺毛晓嘉,女,江苏,3478,223,585,@予凡2012jane,0,2020-01-31 17:57
https://weibo.cn//u/6877040857,大杯小团圆奶绿常温加糖,女,江苏,51,243,20,回复@舜天一起战斗-哈哈哈:太感谢了,0,2020-01-31 17:56
https://weibo.cn//u/1640349201,舜天一起战斗-哈哈哈,男,江苏,4052,1076,421,回复@大杯小团圆奶绿常温加糖:像这种 评论配图,0,2020-01-31 17:54
https://weibo.cn//u/3514294851,秋天的童话joe,男,江苏,18,232,96,那滨江花园的是真是假,0,2020-01-31 17:53
https://weibo.cn//u/2499503480,孙jj呀,女,江苏,63,263,132,回复@13-03-03:苏宁总部那个辟谣了……,0,2020-01-31 17:53
https://weibo.cn//u/5812588636,爱迪生198607,男,江苏,125,187,194,苏宁加油,0,2020-01-31 17:53
https://weibo.cn//u/1640349201,舜天一起战斗-哈哈哈,男,江苏,4052,1076,421,回复@大杯小团圆奶绿常温加糖:南京发布的微博和微信公众号都可以看到的，你翻翻,0,2020-01-31 17:50
https://weibo.cn//u/1964232305,小硬币色色,女,江苏,274,642,125,不公布透明休息当然会这样，官方凭什么不让公众知道具体位置。,0,2020-01-31 17:40
https://weibo.cn//u/6357587285,Jonathan3902,男,其他,16,298,48,我们就想听点真话！这么难么？,0,2020-01-31 17:36
https://weibo.cn//u/6877040857,大杯小团圆奶绿常温加糖,女,江苏,51,243,20,回复@舜天一起战斗-哈哈哈:内个活动路线在哪看呀？,0,2020-01-31 17:34
https://weibo.cn//u/6530496824,莫麗斯98,男,海外,10,136,29,那你把那25个人的家庭住址和传染源情况公布啊！ 没人会相信谣言  你做到疫情信息公开透明就好~,1,2020-01-31 17:29
https://weibo.cn//u/1801376973,观云010,男,江苏,1818,323,253,如果把造谣的抓起来，我们才能认为是有人造谣，不然就有可能是真的。,0,2020-01-31 17:27
https://weibo.cn//u/5973509231,kyx芩梓兮,女,江苏,5787,403,1236,挺好，不然都不敢去环宇城了,0,2020-01-31 17:26
https://weibo.cn//u/3910485450,是吴先生吖,男,江苏,144,338,313,后宰门呢,0,2020-01-31 17:22
https://weibo.cn//u/7003470589,谈什么恋爱搞钱呀,女,江苏,61,400,188,回复@左岸风语:反正我们家小区确实有例确诊病例，已经封楼了,3,2020-01-31 17:20
https://weibo.cn//u/1562938182,我掐指一算你万世糊涂,男,江苏,178,411,141,别的社区都是辟谣， 只有广州路社区是关注,0,2020-01-31 17:18
https://weibo.cn//u/5536950978,小董二板桥社区,女,江苏,3841,70,7,谣言不要相信,0,2020-01-31 17:17
https://weibo.cn//u/2785115527,凹凸曼苹果梨,女,江苏,2540,1311,379,回复@凹凸曼苹果梨:昨天还正常营业啊！进去测体温！一个小姐姐还买了奈雪,0,2020-01-31 17:16
https://weibo.cn//u/2785115527,凹凸曼苹果梨,女,江苏,2540,1311,379,昨天才去的环宇城,0,2020-01-31 17:15
https://weibo.cn//u/2473756455,岸边蝴蝶,男,江苏,1693,578,383,回复@是你的书呀:重点提问来了，谁接手释疑？静静的等待中……,0,2020-01-31 17:15
https://weibo.cn//678890614,APS量化策略,女,江苏,780,387,1589,和会街都被拍到小区隔离了，假的？,0,2020-01-31 17:15
https://weibo.cn//u/1948815654,坚鸡蛋团队-超人,男,江苏,1191,760,5413,想知道苏宁总部隔离是真是假？求证实,1,2020-01-31 17:15
https://weibo.cn//u/2391584040,记忆七夕,女,江苏,216,208,123,到底是哪里呢，别的地区都把大概范围划一下，大家好防范,0,2020-01-31 17:14
