评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3856971010,南京模范马路社区,女,江苏,65616,268,1987,转发,0,2020-12-15 14:51
https://weibo.cn//u/3889512057,华阳佳园社区居委会,男,江苏,19022,289,572,拍的是电影《中国医生》,0,2020-12-24 15:44
https://weibo.cn//u/3483077223,宝塔桥街道象山社区,男,江苏,28471,48,564,拍的是电影《中国医生》,0,2020-12-22 15:21
https://weibo.cn//u/5788926640,离离离离离珞珞,女,江苏,3228,105,12,分享,0,2020-12-29 14:39
https://weibo.cn//u/3879536193,江东街道宝地园社区,男,江苏,49677,212,1297,关注鼓楼微讯，了解身边发生的事。,0,2020-12-28 15:12
https://weibo.cn//u/3889512057,华阳佳园社区居委会,男,江苏,19022,289,572,拍的是电影《中国医生》,0,2020-12-24 15:44
https://weibo.cn//u/3483077223,宝塔桥街道象山社区,男,江苏,28471,48,564,拍的是电影《中国医生》,0,2020-12-22 15:21
https://weibo.cn//njxgwx,鼓楼微讯,男,江苏,66158,788,5204814,回复@南京模范马路社区:,0,2020-12-22 10:47
https://weibo.cn//u/2751500384,凤凰街道蓝天园社区,男,江苏,82734,186,1535,汉一小区紧急隔离是在拍电影,0,2020-12-18 11:06
https://weibo.cn//u/5812481331,无锋不起浪2015,男,江苏,31839,154,1801,分享,0,2020-12-17 16:51
https://weibo.cn//u/3857061900,南京市三牌楼社区,男,江苏,79912,963,2256,关注鼓楼微讯，掌握最新资讯,0,2020-12-16 17:08
https://weibo.cn//jinchuanhuayuan,金川花苑社区,女,江苏,36919,109,597,转发微博,0,2020-12-15 18:00
https://weibo.cn//u/3875635650,挹江门街道福建路社区,女,江苏,63446,139,830,武汉一小区紧急隔离是在拍电影,0,2020-12-15 17:10
https://weibo.cn//zzlsq,紫竹林社区,男,江苏,79248,119,1439,关注鼓楼微讯，分享精彩微博,0,2020-12-15 16:44
https://weibo.cn//u/2843305735,鼓楼东炮台社区,男,江苏,25888,378,652,关注鼓楼微讯，关注新闻网事,0,2020-12-15 16:25
https://weibo.cn//u/3856971010,南京模范马路社区,女,江苏,65616,268,1987,转发,0,2020-12-15 14:51
https://weibo.cn//anhuaicun,小市街道安怀村社区,男,江苏,33454,72,406,#武汉一小区紧急隔离是在拍电影#,0,2020-12-15 11:03
https://weibo.cn//u/3879531244,幕府山北崮山社区,男,江苏,84581,280,2220,武汉一小区紧急隔离是在拍电影,0,2020-12-15 09:50
https://weibo.cn//u/3875657304,小市街道小市新村社区,女,江苏,50993,256,778,关注鼓楼微讯，掌握最新资讯！,0,2020-12-15 09:47
https://weibo.cn//u/2728776825,小市街道东门街社区,女,江苏,76476,184,1645,感谢鼓楼微讯的分享,0,2020-12-15 09:23
https://weibo.cn//u/3867975196,新门口社区,女,江苏,92540,60,691,转发微博,0,2020-12-15 07:29
https://weibo.cn//u/3879476837,江东街道宝船社区,女,江苏,69198,378,872,转发,0,2020-12-14 22:51
https://weibo.cn//u/3880760748,城河村社区,男,江苏,30947,40,398,好微博要分享，大家记得关注哦,0,2020-12-14 22:51
https://weibo.cn//u/3875399338,挹江门街道察哈尔路社区,女,江苏,58133,51,711,关注鼓楼微讯  分享精彩微博,0,2020-12-14 22:39
https://weibo.cn//u/1406661860,紫铜火锅1,女,江苏,32315,62,62,电影,0,2020-12-14 21:57
https://weibo.cn//qingjianghuayuansq,热河南路街道清江花苑社区,女,江苏,50183,69,453,关注鼓楼微讯，分享精彩微博,0,2020-12-14 21:00
https://weibo.cn//dingjiaqiao2013,丁家桥社区,女,江苏,47470,378,1146,丁家桥社区分享鼓楼微讯丁家桥社区分享精彩微博,0,2020-12-14 17:01
https://weibo.cn//u/2113398942,挹江门街道妙峰庵社区,女,江苏,60541,279,1308,转发分享,0,2020-12-14 17:01
https://weibo.cn//u/5801360878,南京市鼓楼区江东街道睿城社区,女,江苏,48554,148,1121,拍的是电影《中国医生》,0,2020-12-14 16:25
https://weibo.cn//u/2105333315,汇林绿洲社区,男,江苏,56869,219,4046,快转微博,0,2020-12-14 16:20
https://weibo.cn//u/3472469174,挹江门街道戴家巷社区,女,江苏,60197,66,1081,武汉一小区紧急隔离是在拍电影：拍的是电影《中国医生》,0,2020-12-14 15:46
https://weibo.cn//u/6519439944,tina19902017,女,其他,5504,20,14,大家一起来关注,0,2020-12-14 15:31
https://weibo.cn//gzlsqjwh,广州路社区,女,江苏,42616,119,497,：拍的是电影《中国医生》,0,2020-12-14 15:28
https://weibo.cn//u/6557325690,允许你发,男,江苏,10507,121,1979,原来是虚惊一场，是拍电影啊。,0,2020-12-14 15:23
https://weibo.cn//u/3471716784,挹江门街道回龙桥社区,男,江苏,80934,263,2993,关注鼓楼微讯  分享精彩微博,0,2020-12-14 15:08
https://weibo.cn//u/3879476837,江东街道宝船社区,女,江苏,69198,378,872,快转微博,0,2020-12-14 14:03
https://weibo.cn//u/2105333315,汇林绿洲社区,男,江苏,56869,219,4046,拍的是电影《中国医生》,0,2020-12-14 13:31
