评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5598160859,南岔县人民检察院,女,黑龙江,21799,220,469,//,1,2020-08-21 21:55
https://weibo.cn//u/5597448248,明水检察,男,黑龙江,10812,1174,744, 举报 赞[1] 回复 2020-08-22 07:29:01 来自网页,1,2020-08-22 07:29
https://weibo.cn//u/6519474673,民乐检察,男,甘肃,20166,965,3379, 举报 赞[0] 回复 2020-08-21 21:54:30 来自网页,0,2020-08-21 21:54
https://weibo.cn//u/5404625835,龙江检察,男,黑龙江,124430,4555,760675,回复@明水检察:,0,2020-09-07 10:06
https://weibo.cn//u/5404625835,龙江检察,男,黑龙江,124430,4555,760675,回复@民乐检察:,0,2020-09-07 10:05
https://weibo.cn//u/5848568184,喽绿嚯,男,安徽,16,259,93,收多少钱？,0,2020-08-25 13:07
https://weibo.cn//u/7463294177,tiresomeone,男,其他,37,10,7,收了钱就这样？吃人血馒头？？麻烦你们调查清楚再出来辟谣，有图有真相的事件还出来辟谣？？,2,2020-08-22 09:01
https://weibo.cn//u/5597448248,明水检察,男,黑龙江,10812,1174,744,     举报             赞[1]         回复             2020-08-22 07:29:01 来自网页,1,2020-08-22 07:29
https://weibo.cn//u/5589148577,铁力市检察,男,黑龙江,23258,2559,1812,【,0,2020-08-22 06:03
https://weibo.cn//u/6875337892,糖醋排骨泡面饭,女,安徽,43,55,629,是被学生发现了又不知道怎么被媒体曝光了 现在学校不敢承认了，如果不是真的谁会明目张胆在招生简章上清清楚楚写上课地点是安徽建筑大学城市建设学院授课老师也是本校老师 还把招生广告放在城建学院门口那么多天,0,2020-08-22 03:23
https://weibo.cn//u/5969564370,Xiaofei_28,男,安徽,0,239,67,黑龙江检查手伸这么远？安徽的检查呢？,0,2020-08-21 22:58
https://weibo.cn//u/6474594838,夙夜使者6474594838,男,其他,42,114,24,希望作为一个公众号 能够了解事情真相 再做评论， 我是院校学生 我觉得作为公众号 不能把事实公之于众 真的很灰心  ,0,2020-08-21 22:52
https://weibo.cn//u/2317136983,我不想58976,男,安徽,58,39,36,官方号就这？,2,2020-08-21 22:29
https://weibo.cn//u/6309565573,MESELF9,男,安徽,4,26,9,辟谣也要拿出证据，就两个字---辟谣？,1,2020-08-21 22:09
https://weibo.cn//u/6797822406,高等数学汤家凤,男,安徽,84,100,233,请你们调查清楚在发表辟谣声明！你们有了解过这件事，就搁这辟谣？,11,2020-08-21 22:06
https://weibo.cn//u/7306629118,为什么要起昵称啊1,女,其他,2,11,1,麻烦您弄清事实，好嘛,1,2020-08-21 22:01
https://weibo.cn//u/5598160859,南岔县人民检察院,女,黑龙江,21799,220,469,//,1,2020-08-21 21:55
https://weibo.cn//u/5779245308,芒夏廿一,男,安徽,1727,1083,289,辟谣很可贵！但是在一个高等学校还没建完的校区里面公然宣传招中专生，这点学校领导说毫不知情，谁信呢？而且，还在工业区里建学校，还是得靠有关部门来查啊,12,2020-08-21 21:54
https://weibo.cn//u/6294581842,九尾七淇麒,女,西藏,32,284,46,呵呵～～我真是……半个月内先是对学校绝望，现在…对司法机关也没啥信心了。原来这个世界并不美好，利益和黑暗才是这个世界的本来面目，一切都是假的,2,2020-08-21 21:54
https://weibo.cn//u/6519474673,民乐检察,男,甘肃,20166,965,3379,     举报             赞[0]         回复             2020-08-21 21:54:30 来自网页,0,2020-08-21 21:54
https://weibo.cn//u/6008339044,小胡同学hjk,男,安徽,0,48,18,这是学生举报的，有图片证据的，不是空虚来风。政府有关部门还没有调查清楚，学校官方的回应不能作为辟谣依据。应请小编调查清楚，再出来辟谣。,1,2020-08-21 21:53
https://weibo.cn//u/5224634488,发不完的呆,男,新疆,107,101,126,收钱了？,7,2020-08-21 21:47
https://weibo.cn//u/6308863894,葭月拾散,男,安徽,8,32,6,问题是大学嘴上说和这个学校毫无关系，并”严厉制止”，但是私底下，通过这个学校领导发的当天曝光者的照片（因为曝光的人是大学的学生），把曝光者的辅导员批评了一顿，并要求对曝光者进行严肃教育。如果没关系，那不应该表扬曝光者吗？毕竟他维护的是大学的利益呀。辟谣贴希望辟真正的谣言。,14,2020-08-21 21:45
