微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JlLXanPew,"转发理由:#最受青少年关注的十大辟谣案例#，原版从未删减，欢迎广而告之！  
原始用户: 共青团中央
转发内容: 2019-2020年最受青少年关注的网络十大辟谣案例发布，戳↓↓一起了解真相！#明是非辨曲直# 共青团中央的秒拍视频  ",,无,无,FALSE,无,无,2020/9/22 9:45,无,2655,565,308,2
Jlmdri2fS,2019-2020年最受青少年关注的网络十大辟谣案例发布，戳↓↓一起了解真相！#明是非辨曲直# 共青团中央的秒拍视频  ,,无,无,TRUE,"http://gslb.miaopai.com/stream/KV7xDVZukTOOmhCQq401yvCTPVpsA~VvOHQY-A__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_720p&mpflag=32&Expires=1609251035&ssig=MOtqh%2BY%2F2q&KID=unistore,video",无,2020/9/19 16:14,无,52579,7219,3702,2
JfGM4iuIu,【498元一支！微商对新冠疫苗下手了】新冠疫苗还未上市，却有微商已经开卖？据上海网络辟谣消息，近日，朋友圈里的微商卖起了新冠疫苗，还不止一款。记者致电联系疫苗出处后，得到答复是并未上市。防疫不放松，更要科学防疫！必须强调的是，#朋友圈兜售疫苗是违法行为#！   [组图共6张] 原图 ,,"http://ww1.sinaimg.cn/large/eaaf2affly1ghoxjyks6fj20b00adjtf.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1ghoxjys5obj20hq0fb7hl.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1ghoxjyzjooj20de0cp40w.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1ghoxjz598hj20hq0gkdnt.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1ghoxjzdtc8j21f00siaxk.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1ghoxjzqo4lj20qy08jgnh.jpg",无,TRUE,无,无,2020/8/13 9:32,无,3361,814,677,2
JbF5Ngggi,辟谣！#网传北京某小区出现确诊病例不实#  原图 ,,http://wx2.sinaimg.cn/large/eaaf2affly1ggub9l11p4j20u01fiaew.jpg,无,TRUE,无,无,2020/7/17 21:54,无,5007,89,432,1
J7ll3siuF,【最新关于北京疫情的这些谣言，别信！】84岁钟南山院士空降北京？北京餐饮业全部停业做核酸检测……这些谣言都是假的！不造谣、不传谣就是对疫情防控的最大支持#疫情辟谣# （新闻联播）  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/eaaf2affly1gfxh6ri9g4j20rs0s042a.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gfxh6rs5vdj20n01t0doe.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gfxh6s0hhzj20u0199jtw.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gfxh6s85lmj20k0085gnc.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gfxh6sgzaij20mo0o7jsn.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gfxh6soz6vj20u00bg0tu.jpg",无,TRUE,无,无,2020/6/19 12:16,无,793,229,226,1
J6N5YnVRj,【辟谣！北京疫情这些谣言别信】北京欢乐谷游客核酸检测呈阳性？河北燕郊一家三口发烧？北京育民小学已有学生确诊新冠肺炎？北京灯市口稻香村出现确诊病例？这些全是谣言。@首都网警 呼吁：防控不能松懈，重视但不恐慌。  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/eaaf2affly1gfta0mgf9bj20c80le0u8.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gfta0n1fdmj20c80mqgn8.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gfta0n8fapj20c80uk41r.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gfta0ndohjj20c80letan.jpg",无,TRUE,无,无,2020/6/15 21:05,无,829,170,135,1
J1rxCcA6z,【#疫情辟谣#！美国关于新冠肺炎疫情的涉华谎言与真相】中国掩盖疫情，延误发布时机？中国数据不透明？中国控制世界卫生组织？近期，美国一些政客和媒体为转移国内应对新冠肺炎疫情不力，甩锅中国，编造了各种匪夷所思的谎言。谎言止于真相，我们用事实说话。戳↓↓ 美国关于新冠肺炎疫情的涉华谎言与事实真相  ,,无,无,TRUE,无,无,2020/5/11 17:01,微博 weibo.com,960,227,150,3
IFiVEot4l,感谢所有疫情期间的“逆行者”，感恩你们的付出！不信谣，不传谣！恶意营销，该停手了 #疫情辟谣#  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/eaaf2affly1ge8o1w7bhaj20qy0x00xj.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1ge8o1wkqnyj20ku09eq3t.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1ge8o1wvrtrj20qy0nvgnj.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1ge8o1x3zllj20qa1e0gsu.jpg",无,TRUE,无,无,2020/4/27 21:54,无,25469,749,857,2
IF8XthtQZ,【网民造谣隔离点坍塌致多人死亡，被行拘5日！】据@平安道里，日前有微博账号“我叫春小妮”散布谣言称“黑龙江新冠肺炎隔离点突发大火坍塌！10人死亡70多人遇难！”，经查为哈尔滨市道里区居民任某。警方将任某传唤后经询问，任某对自己散布谣言扰乱公共秩序的违法行为供认不讳。#疫情辟谣#  原图 ,,http://wx2.sinaimg.cn/large/eaaf2affly1ge7g1dfj0dj20gm0m8tas.jpg,无,TRUE,无,无,2020/4/26 20:31,无,1327,121,262,2
IzG6tkgie,“美军10艘医疗船开进纽约港”、“180所战地医院遍布全美”……夸大或诋毁他国抗疫，我们都反对；谄媚或轻贱别国努力，我们都抨击；粉饰门面或弄虚作假，我们都不齿。希望互联网不被垃圾信息所充斥，希望有生命力的信息传递真实，记录真相。#疫情辟谣# via:@钧正平  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/eaaf2affly1gd1w29k5p4j20f10nswgm.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gd1w29qp72j20f10nsjtc.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gd1w2a56chj20f10nsmz2.jpg",无,TRUE,无,无,2020/3/21 21:52,无,6780,770,673,2
