评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6122918996,-不知桃-,女,海外,501,252,1161,造谣必死,1759,2020-01-25 15:36
https://weibo.cn//u/2738255641,许十年光阴,女,湖北,1351,201,763,还有心情造谣？,1148,2020-01-25 15:37
https://weibo.cn//u/1135166532,人间风物皆有灵性,女,海外,47234,2417,3542,多助力 少添乱 ,292,2020-01-25 15:37
https://weibo.cn//u/6427368420,·星界傲游·,男,其他,3822,950,153,传说中的学术政治化，政治娱乐化，娱乐宗教化，宗教没文化吗  运营这个企划的公司和运营孙笑川的是一个公司一个老板，懂我的意思了吧  又挂了一个韩国女演员，二十多岁，怎么这次没有人刷了。这才几个月，财团们再创佳债你这样“团团”、“团团”地叫一个本该是我D预备役组织的官方账号就是饭圈现象,0,2020-02-17 23:58
https://weibo.cn//u/1603086570,第三颗耳洞,女,北京,358,133,118,不需要辟谣，只要所有一线的医务工作者平安健康就好…,0,2020-01-30 12:17
https://weibo.cn//u/2980369871,Z-玉熙_Cyril,男,新疆,354,145,189,这些人的嘴啊……是啃了自家祖坟坟头的土么……丧良心的！,0,2020-01-28 06:09
https://weibo.cn//u/5589799623,海底的蝸牛D,男,海外,302,213,422,特殊时期造谣最好不走程序直接入刑,0,2020-01-27 09:07
https://weibo.cn//u/5591964293,三杯酒下肚生活这么苦,男,江苏,8,136,29,回复@枫林火山的枫:轮子什么意思啊,0,2020-01-27 00:58
https://weibo.cn//u/2749152145,鹰巡,男,山东,167,80,212,: 能用血液透析机减少血液中的病毒含量吗,0,2020-01-26 21:07
https://weibo.cn//u/6935057069,谭少侠H,男,贵州,0,15,5,共青团的同志，我想问一下地方政府究竟知不知道疫情的严重程度，我们这边儿邻村之间都封路了,0,2020-01-26 20:41
https://weibo.cn//u/5617301514,就想弄明白haha,男,江苏,17,123,17,有人非要说这个病毒不是天然生成，而是人工研制出的，而且还说是共济会，美帝故意投放，说是只针对亚洲黄种人的基因。求辟谣！,0,2020-01-26 18:59
https://weibo.cn//u/1642125744,次元盒,男,贵州,264,1098,202,造谣biss,0,2020-01-26 18:35
https://weibo.cn//u/6692835903,正版临渊_,女,北京,287,52,32,吓死我了,0,2020-01-26 17:04
https://weibo.cn//u/5896537338,小流萌宝,女,广东,905,59,43,。。。。。等过了特殊时期，希望网警能把造谣的收拾一下，谢谢,1,2020-01-26 12:55
https://weibo.cn//xuewuqian,薛污谦,男,福建,667,440,274,造谣者给👴爬！,0,2020-01-26 10:10
https://weibo.cn//u/5368032772,虫虫咬你哟,男,山东,86,223,144,造谣必死,0,2020-01-26 09:53
https://weibo.cn//u/6475202122,薛之谦下辈子带我回家,女,上海,920,1248,64,作为中国新时代青年！不信谣！不传谣！相信国家！相信政府！,1,2020-01-26 09:39
https://weibo.cn//u/6475202122,薛之谦下辈子带我回家,女,上海,920,1248,64,回复@许十年光阴:好多带节奏的……疯狂攻击政府，国家,1,2020-01-26 09:38
https://weibo.cn//u/1699342324,不务正业的小瑶子丶,女,其他,4157,271,2756,能不能不要造谣了 这两天造谣满天飞 真的是太过分了 每个人都心系这件事 一堆造谣搞得人心惶惶！,2,2020-01-26 09:21
https://weibo.cn//u/5894523888,小能点点点,女,吉林,640,549,225,回复@Chris是人间理想:造谣司马,0,2020-01-26 09:21
https://weibo.cn//u/7368767535,推特治国特靠谱,男,其他,15,26,4,回复@影丶袭:你可以也用繁体字，混入其中，中心开花,0,2020-01-26 09:19
https://weibo.cn//u/5407902479,mmaasleep,男,陕西,27,108,26,造谣归造谣，拿钟南山院士开玩笑，太过分了，造谣biss,2,2020-01-26 09:15
https://weibo.cn//u/5892609944,染华,男,其他,13,372,121,这是人干的事？,0,2020-01-26 08:51
https://weibo.cn//u/5441340388,长白风雪静候故人归,女,吉林,681,1477,300,回复@影丶袭:加油！,0,2020-01-26 08:48
https://weibo.cn//u/6016576169,lincy_lj,女,北京,556,128,161,传这种谣言的人居心何在,1,2020-01-26 08:45
