评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5942005808,我听你的才怪,女,其他,1510,626,2099,凉仔排面了，武汉加油！,1012,2020-01-30 10:16
https://weibo.cn//u/7195333393,爱粉的小可爱,女,其他,1070,1520,23597,那个说物资充足的算造谣吗？,386,2020-01-30 10:17
https://weibo.cn//10112015,凉风Kaze,男,上海,2636,83,1066713,米娜桑不传谣不造谣，多休息多三连，宅着就是最大的贡献,415,2020-01-30 18:42
https://weibo.cn//u/6437811593,-二代目-,男,上海,7973,70,3,牌面！,0,2020-03-30 05:33
https://weibo.cn//278980698,浩哥思密达,男,河南,1738,351,7910,从前有个人叫甄姬，他爸爸很会编筐，一天有人来到村里问谁会编筐，村民说:甄姬爸会编,0,2020-03-23 17:24
https://weibo.cn//u/6316444631,蓝海越123456,男,其他,100,80,44,工具箱厉害了,0,2020-03-14 12:45
https://weibo.cn//u/6552274634,露月知白,女,其他,328,627,214,凉仔出息了,0,2020-03-10 12:13
https://weibo.cn//u/5863204817,翀哥不是梨宝,男,河南,1,49,36,回复@凉风Kaze:想想你为什么还不是一楼呢,0,2020-03-05 15:40
https://weibo.cn//u/6847072557,怕麻烦的阿宅君,男,河南,49,274,29,回复@凉风Kaze:怎么右上角是“秒拍”？不该有“bilibili”的水印吗？,0,2020-03-03 16:38
https://weibo.cn//u/5834228148,Radscha-Iba,男,广东,69,2013,110,凉仔竟然这么有排面,0,2020-02-09 22:39
https://weibo.cn//u/5648806491,归谷雨,男,其他,2,18,22,凉风，怕事情？我的英雄学院/豫章书院等均不见你的身影，我理解你的忙碌，单同样希望你能够当得起这百万之称！,0,2020-02-08 20:25
https://weibo.cn//u/5961020127,方未然,女,湖北,75,99,41,回复@越狱的猕猴桃w:以后说话记得过脑。也是个研究生了,0,2020-02-06 23:32
https://weibo.cn//u/5961020127,方未然,女,湖北,75,99,41,回复@匆匆忙忙的葱:不知道你是个什么层次了,0,2020-02-06 23:31
https://weibo.cn//u/2275766093,pleasecallme泰锅,男,山东,1844,836,165,回复@凉风Kaze:工具人！,0,2020-02-05 13:32
https://weibo.cn//u/7171357343,天使宝贝_199511,女,湖北,371,1857,319,正解，辟谣,0,2020-02-04 12:55
https://weibo.cn//u/7380899273,明明德60853,男,其他,22,46,33,"武汉金_(后一个字忘了)医院，感染者进去零死亡，都是中医医治! 虽说你所说的那个中医方子是辟谣，但你求证的方法不对，如果每位药是具体治什么病的话，那内行人看你，只能说:不懂别乱说! 这也是你说的""别辟谣""!",1,2020-02-03 19:13
https://weibo.cn//u/5687629095,flame-empressement-pond,男,其他,235,403,261,回复@凉风Kaze:这次一定,0,2020-02-03 11:25
https://weibo.cn//u/7030513680,诀徵羽,男,海外,2,43,22,你没资格做up,0,2020-02-03 10:43
https://weibo.cn//u/7339529438,净静心灵的老布,男,山东,23,96,4,回复@爱粉的小可爱:有些谣言都被证实了，咱也不敢说咱也不敢问，现在咱也不想了，除了祈愿湖北我只关心韩红爱心慈善基金会，别的咱也不扯淡,0,2020-02-03 01:11
https://weibo.cn//u/7353377685,琳琳的小花,女,山东,92,87,3,回复@凉风Kaze:太爱你了,0,2020-02-02 15:38
https://weibo.cn//u/7303542720,甜腻腻的宝贝c酱w,女,江苏,127,459,1291,tool凉必须有排面,0,2020-02-02 13:51
https://weibo.cn//u/2598016470,·子言·,男,天津,15,954,102,回复@空云居:所以全死了才叫不可防不可控？无关治愈率死亡率传染强度传染面积疫苗的有无等等？,0,2020-02-01 09:48
https://weibo.cn//u/3090140375,时依月and潇酱喵,女,天津,51,209,34,回复@凉风Kaze:tool凉你真的真的太沉了，捞不动了,0,2020-02-01 01:11
https://weibo.cn//u/7286653464,他说二货道士,男,福建,874,293,22,开局一张图，内容全靠编,0,2020-01-31 22:38
https://weibo.cn//u/5932212765,姓木子故名子木,女,福建,28,51,68,tool凉排面啊,0,2020-01-31 22:16
https://weibo.cn//u/2684827991,琼中县团委,女,海南,5300,119,6238,不传谣 不信谣 不造谣,0,2020-01-31 18:02
https://weibo.cn//u/6574379530,照悠窗,女,江苏,641,135,38,回复@oTwTwTo:凉仔太帅了,0,2020-01-31 17:00
https://weibo.cn//u/2669129103,空云居,男,湖北,99,511,40,回复@·子言·:不可防不可控那不就是在家等死？？,0,2020-01-31 16:44
https://weibo.cn//u/6356123412,I冷美42877,男,其他,7,65,1,不要误信谣言,0,2020-01-31 14:49
https://weibo.cn//u/1822765093,差不多成点了,女,河北,469,287,90,回复@凉风Kaze:次元壁破了！,0,2020-01-31 14:12
https://weibo.cn//u/6396623447,清仔呀呀呀,男,广东,2,505,11,不信谣不传谣,0,2020-01-31 12:37
https://weibo.cn//u/3170941867,德徳悳惪,男,云南,3,57,165,回复@凉风Kaze:tool凉🐮🍺,0,2020-01-31 12:35
https://weibo.cn//jojoxiaoxing,JoJo_小星,女,北京,280,272,200,那啥，高福在北京卫视节目上是不是说盐水冲鼻腔可以？,0,2020-01-31 12:33
https://weibo.cn//u/6211143710,Maps图图图图图,男,其他,52,720,1900,转发到微信群里会被封号吗,1,2020-01-31 12:12
https://weibo.cn//u/5949656193,浙江台今天炸了吗,女,云南,2236,835,226,厉害了凉仔,0,2020-01-31 12:11
