评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5413583153,清明灿星,女,四川,312,403,792,憨批年年有，今年特别多,1700,2020-01-27 14:31
https://weibo.cn//u/5692034842,cyeoniii,女,其他,12167,285,15132,神经病。。,597,2020-01-27 14:31
https://weibo.cn//u/2738255641,许十年光阴,女,湖北,1351,201,763,兵哥哥也敢造谣,521,2020-01-27 14:32
https://weibo.cn//u/2641002911,好胸啊妹子,男,山东,5,23,126,我们的墙不管用了，他们现在都跑到我们的网络上散播谣言,1,2020-02-05 00:46
https://weibo.cn//babideal,阿姆蒋先生,男,江苏,36,358,522,不能乱说,0,2020-02-05 00:07
https://weibo.cn//u/2395855800,92年的小李,女,安徽,281,41,293,这也太恶毒了吧,0,2020-02-03 17:01
https://weibo.cn//u/3710351811,李哒哒颖,女,山东,2411,139,320,造谣的人真的是坏透了,0,2020-02-01 13:10
https://weibo.cn//u/5462088338,金堡同学,男,山东,735,241,144,武汉那八个人，给人道歉没，是真谣言还是假谣言，要是当时认真对代，哪能现在这个样！   有不知道的可以搜一下  武汉8人造谣！,2,2020-01-30 22:04
https://weibo.cn//monicahola,MonicaHola,男,海外,524,188,214,造这种谣的纯属是憨批里面的憨批 没脑子,0,2020-01-30 18:55
https://weibo.cn//u/2813060874,墨者革离-苦志,男,四川,169,312,101,回复@许十年光阴:也敢造兵哥哥的谣,0,2020-01-30 13:06
https://weibo.cn//u/1311168404,海洋之翼,男,北京,21526,1067,3496,关起来吧,0,2020-01-30 12:58
https://weibo.cn//u/2050958322,lswy1997,女,海外,560,66,23,不传谣，不信谣，用用脑子，理智对待。,0,2020-01-29 19:45
https://weibo.cn//pocterzero,春天的细雨,男,山东,5953,207,259,解放军？传播病毒？这脑子是被好莱坞大片捣成浆糊外加被阴谋论这搅屎棍搅得稀里哗啦的么,0,2020-01-29 18:35
https://weibo.cn//u/3315847991,只有我没有,男,湖北,7,59,60,回复@何T_T何:,0,2020-01-29 12:13
https://weibo.cn//312412221,孤独的优惠美食嘉,女,广东,9286,1528,45056,麻烦也把这个网友抓了 ,1,2020-01-29 07:45
https://weibo.cn//neil0619,巍观世界vv,男,上海,2406,1395,6987,图片评论 ,0,2020-01-29 00:13
https://weibo.cn//u/6280611325,白狼6280611325,男,辽宁,130,594,122,那次危难之时，都是子弟兵驰援救灾，他是不是吃的太饱了。,0,2020-01-28 23:05
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17516,419,935,居然还传解放军的谣，简直无法无天了,0,2020-01-28 17:48
https://weibo.cn//u/6157857017,九音引魂箫晚晚,女,江西,2403,209,169,真的累 一边抗疫情 一边还要提防一些憨批,0,2020-01-28 17:18
https://weibo.cn//u/3537077677,华子敬言,男,江苏,19112,680,34113,有人在前线与病毒殊死搏斗，有人却在后方无耻造谣混淆视听,1,2020-01-28 16:18
https://weibo.cn//u/5092249976,0桥豆麻袋0,男,河南,245,338,28,建议就地火化,0,2020-01-28 16:18
https://weibo.cn//u/5516957281,七宝酱七宝酱,女,山东,2020,184,83,这种谣言有人信吗？？这都不配称为谣言！！解放军永远是我们坚强的后盾,0,2020-01-28 14:29
https://weibo.cn//z88888888888,今晚风很凉_,男,海外,641,77,46,回复@一上线就话唠的yeon:接口，这人肯定是轮子遗种，希望有关部门深挖,2,2020-01-28 13:32
https://weibo.cn//z88888888888,今晚风很凉_,男,海外,641,77,46,回复@前线小叮当:这种造谣一股轮子味，,0,2020-01-28 13:31
https://weibo.cn//u/2607342085,关注校园暴力事件曝光,男,辽宁,3585,1187,784,造谣生事着，全部抓起来！严惩😡,0,2020-01-28 12:40
https://weibo.cn//szjp1980,jfddz,男,其他,344,54,111,回复@阿狸哩哩哩喵:传谣的还有可能是蠢，但造谣的就一定是坏！,0,2020-01-28 12:31
