评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6578161692,颜控且慕强,女,黑龙江,9312,360,544,这也造谣，真是服了,985,2020-02-04 17:53
https://weibo.cn//u/2652280657,林森林粤,女,上海,2492,311,13061,造谣者原地爆炸吧,484,2020-02-04 17:53
https://weibo.cn//u/5846315566,黑夜吻白天谢谢了时间弄红了双眼,男,湖南,173,159,98,回复@Solid蝰蛇:有你🐴 特效药,0,2020-02-08 17:35
https://weibo.cn//dsgzq,抗战史记,男,广东,5892,784,3357,目前美国方面确有1个病例证明瑞德西韦，可以缓解病情；但没有公布具体数据，而且还是孤例；所以谈不上特效药。需要更多的临床实验证实，且存在失败的风险！预计最快也要好几个月。就算行，也要听医嘱；不是所有人都适合。现在最务实的就是全民形成乐观积极的态度，坚持戴口罩出门，勤洗手,0,2020-02-06 19:41
https://weibo.cn//u/6429258008,文翠6429258008,女,辽宁,34,188,23,一个治疗埃博拉的药，来治疗新冠，好怪异。应该就是为新冠提前研发的,0,2020-02-06 15:57
https://weibo.cn//u/2269805097,懂球帝二果,男,海外,0,917,192,回复@枯荷听雨声-:你今天搜一下这个药有没有进来,0,2020-02-06 01:03
https://weibo.cn//u/2269805097,懂球帝二果,男,海外,0,917,192,图片评论 ,0,2020-02-06 01:02
https://weibo.cn//u/1943275185,五戒弟子,男,贵州,295,863,516,团子好样的！,0,2020-02-05 23:37
https://weibo.cn//u/5939926656,丁了个噹噹,女,山东,715,1785,277,这些唯恐天下不乱的人啊，国家乱了对你有什么好处呢？,0,2020-02-05 22:01
https://weibo.cn//u/5162136664,Solid蝰蛇,男,江苏,135,387,176,回复@石原酱的小迷妹:这款药已经在中国进行临床试验了，并且效果良好，专利免费,0,2020-02-05 17:41
https://weibo.cn//u/5162136664,Solid蝰蛇,男,江苏,135,387,176,回复@咘噜咘噜小神仙:昨天就开始在中国做实验了，不知道?,0,2020-02-05 17:40
https://weibo.cn//u/6419682715,安吉莉娜晓文,男,其他,196,228,4,看来大家最近都对吉利德和瑞德西韦很关注啊！,0,2020-02-05 14:44
https://weibo.cn//wangpeng200514,王鹏aka,男,山东,1662,370,624,美国瑞德西韦 remdesivir，有翻译成人民的希望的，希望这药成为新的青霉素，拯救中国人民,0,2020-02-05 13:44
https://weibo.cn//jjmzhcs,家佳美综合超市,男,江西,154,104,109,真有这药满天都是这消息了。还轮到他说？,0,2020-02-05 13:18
https://weibo.cn//u/2135810943,无山之城,男,江苏,655,227,659,美分 精日最近跳的真欢,0,2020-02-05 13:08
https://weibo.cn//tnk1020,QTHB9020,女,其他,16,22,123,因为病毒特点不太信特效药只能抑制吧，很重要的是副作用如何（不是短时间看出来）。一堆人当美企小白鼠，美分高潮,0,2020-02-05 13:01
https://weibo.cn//u/6020496455,娘口三三我的哥,女,江苏,35230,501,574,🙃,0,2020-02-05 12:57
https://weibo.cn//312712771,稻田2013,男,北京,3717,1241,2261,我想问，这个要到底有没有效果,0,2020-02-05 12:06
https://weibo.cn//u/3881660513,四川应急,男,四川,10746,382,226550,转发微博,0,2020-02-05 11:39
https://weibo.cn//chenjindeth,chenjindeth,男,浙江,24,160,53,都是为了证明美国伟大光荣正确,0,2020-02-05 11:31
https://weibo.cn//u/1782713334,小丁走天下,男,广东,798,349,629,能找出谁发的吗,0,2020-02-05 11:12
https://weibo.cn//u/7315488864,zhangjinsong0716,男,湖北,7,13,2,回复@车车来吧:嗯，好，谢谢！,0,2020-02-05 10:35
https://weibo.cn//u/5020136242,车车来吧,女,其他,1059,165,63,回复@zhangjinsong0716:你应该咨询一下专业人士，我也是百度的看到这一条 评论配图,0,2020-02-05 10:34
https://weibo.cn//u/7315488864,zhangjinsong0716,男,湖北,7,13,2,回复@车车来吧:几千块钱都无所谓，关键上万了，那可是我辛苦了一年的收入！😭😭😭,0,2020-02-05 10:31
https://weibo.cn//u/7315488864,zhangjinsong0716,男,湖北,7,13,2,回复@车车来吧:没有实名认证，孩子也是未成年儿童，那有什么方法能让游戏公司退款，具体该怎么做？还请您多多指教，大恩不言谢！,0,2020-02-05 10:28
https://weibo.cn//u/5020136242,车车来吧,女,其他,1059,165,63,回复@zhangjinsong0716:只能一直跟游戏公司沟通了，其他部门管不了，除非你能查到游戏公司有违规行为。,0,2020-02-05 10:27
https://weibo.cn//u/5020136242,车车来吧,女,其他,1059,165,63,回复@zhangjinsong0716:你可以搜相关新闻看看，以前有报道过成功退款的。孩子玩的游戏有没有实名认证过，没有实名过的应该可以要求退款，。如果孩子玩的是你在玩的游戏，你实名认证过可能就没办法了,0,2020-02-05 10:20
https://weibo.cn//u/5752680837,斑驳wounded乛,男,其他,153,150,27,回复@pzpz2020:造谣一张嘴，辟谣跑断腿,0,2020-02-05 10:07
https://weibo.cn//u/6067644924,www黄桃我太可了叭,女,其他,601,167,8,服了,0,2020-02-05 10:03
https://weibo.cn//u/1109343714,打碎旧机器,男,江西,267,170,28,回复@Mr-Biscuit:一边还要封口,0,2020-02-05 09:47
https://weibo.cn//u/7315488864,zhangjinsong0716,男,湖北,7,13,2,回复@车车来吧:我承认我有错，罪该万死，但事情已经发生了，还希望您能提出宝贵的建议，能给帮助！,0,2020-02-05 09:42
https://weibo.cn//u/5266757518,Nara青木,男,山东,3076,73,304,愿病魔战胜造谣者,0,2020-02-05 09:18
https://weibo.cn//u/2313192680,国人何不带吴钩,男,江苏,172,130,10,回复@阿狸啊丫头:工作态度与能力问题，自私自利问题贪腐问题，与反共反政府卖国不是一类人。要分开。,2,2020-02-05 08:43
https://weibo.cn//u/3223240674,YY妞妞9988,女,江苏,1200,833,260,对造谣者无语,0,2020-02-05 06:49
https://weibo.cn//u/2951337810,季白二拾y,女,湖北,32,58,453,造谣者给我原地爆炸,0,2020-02-05 05:39
https://weibo.cn//u/5841672021,阿狸啊丫头,女,其他,694,349,3354,回复@厦门李李:感觉🌾 的苗头最近不老实了,1,2020-02-05 02:50
https://weibo.cn//u/5841672021,阿狸啊丫头,女,其他,694,349,3354,回复@ourscq:哈，发现了，感觉🌾 的苗头最近不老实了,1,2020-02-05 02:49
https://weibo.cn//u/5841672021,阿狸啊丫头,女,其他,694,349,3354,回复@ourscq:真感觉🌾 的苗头最近不老实了,1,2020-02-05 02:49
https://weibo.cn//u/5841672021,阿狸啊丫头,女,其他,694,349,3354,回复@Mr-Biscuit:发现了，感觉🌾 的苗头最近不老实了,2,2020-02-05 02:46
https://weibo.cn//u/5841672021,阿狸啊丫头,女,其他,694,349,3354,回复@国人何不带吴钩:感觉🌾 的苗头最近不老实了,2,2020-02-05 02:46
https://weibo.cn//u/6254860119,估计实名章北海,男,其他,11,165,30,招摇也就算了，前边吃紧，后边紧吃才是最可怕的,0,2020-02-05 02:43
https://weibo.cn//gabriel1992,92_Gabriel,男,北京,1142,132,151,@公子kimi专注铁牢五十年,0,2020-02-05 02:39
https://weibo.cn//u/5054167902,抗日奇侠柯南君,男,湖北,21,111,118,回复@鸟蜀黍蜀黍:我寻思着群众都是没有脑子的吗,0,2020-02-05 01:22
https://weibo.cn//u/5472674907,sviusezony_Ryu,男,新疆,21,303,444,恨国党已经舔得不行了,0,2020-02-05 00:44
https://weibo.cn//wh0122,伏见·,女,黑龙江,3321,568,604,回复@吾生ws如寄:别说了，鸡蛋都能挑骨头呢。这时候不管看见啥，都得带点思考才行。,0,2020-02-05 00:26
https://weibo.cn//u/2313192680,国人何不带吴钩,男,江苏,172,130,10,回复@宇文话唠:这就是主席，为什么要文，，各,5,2020-02-05 00:19
https://weibo.cn//u/5656979231,陈鸿博上流,男,其他,0,34,131,回复@蓝色的草虫:有一说一，国内药企目前是真的不行,0,2020-02-05 00:10
https://weibo.cn//u/6562015400,龙翼2000,男,其他,4,132,41,造成今日之全国抗疫局面者，湖北省武汉市领导们，难道不该问责？必须杀一儆百，以平民愤，以谢天下苍生!,1,2020-02-05 00:06
https://weibo.cn//u/6868011364,Sorbaria薇拉,女,其他,789,375,62,造谣者可耻,0,2020-02-04 23:59
https://weibo.cn//u/3807217120,邓斌发,男,广东,8547,588,525,微信群的谣言连辟谣的公众号都没有,0,2020-02-04 23:43
https://weibo.cn//u/1252750455,茶香幽幽,女,福建,5980,100,362,美分的精神世界是唯利是图，这点在马克思的资本论都有，不过他们追求了那么久，恐怕不知道美分是美国最小的货币单位,1,2020-02-04 23:41
https://weibo.cn//u/6582585683,LaMasia小跳蚤,男,海外,0,18,31,哈哈哈又是抑制，玩玩文字游戏呢？你们不是说双黄连也可以抑制吗,0,2020-02-04 23:29
https://weibo.cn//u/6220961357,熊猫伴蚩尤,男,其他,7,42,22,造谣成本低，就会有层出不穷的谣言，就会分出大量的时间精力辟谣。,0,2020-02-04 23:26
https://weibo.cn//u/1401115903,奇峰宸阳,男,河南,1555,1900,1402,美狗们谣言满天飞，为啥管不住呢？？？,0,2020-02-04 23:25
https://weibo.cn//hanaalice,MarsTaoo,女,江苏,2338,426,441,都这种时候了，还有那么多人造谣传谣，真是搞不懂,0,2020-02-04 23:19
https://weibo.cn//u/6119545497,星宇星空6119545497,男,上海,324,114,37,魑魅魍魉怎么就这么多？,0,2020-02-04 23:19
https://weibo.cn//u/5121794690,银桑oooooooo,男,浙江,317,235,75,又特么谣言，这一天天的都有病，一开始双黄连，然后谣言，然后证实可信，然后又是谣言，还是官方发布的，卧槽，这特么脑子有病啊，耍着我们玩？,1,2020-02-04 23:13
https://weibo.cn//u/6381299110,shuiyicen,女,重庆,114,144,4,造谣可耻！！我能做到不传谣！！🙏🙏🙏,0,2020-02-04 22:49
https://weibo.cn//u/2033741447,HALO小小女子,女,四川,1405,359,602,造谣的人是想钱想疯了吗,0,2020-02-04 22:20
https://weibo.cn//u/1142814485,鸾飞南天门,男,其他,444,90,124,脑子有泡吧，一天天的消停点，让人家好好的不行吗？不要给人家找麻烦了。什么人啊都是？？？,0,2020-02-04 22:10
https://weibo.cn//u/6440944562,九八柒二,男,其他,9,37,9,美国治好了一例把国内有些人高潮的不行，却无视了国内医生治愈了四百多例的事实。,9,2020-02-04 22:02
https://weibo.cn//u/5878421348,大爱种花家2016,男,黑龙江,378,71,56,就算老美有药我们也不需要了，我们自己研究出来了，都2020年了怎么还这么多牧羊犬,0,2020-02-04 22:02
https://weibo.cn//u/2446613317,爆裂新手,男,江苏,373,682,253,不会是医药代表造的谣吧？,0,2020-02-04 21:52
https://weibo.cn//u/3315824290,品茶看端倪,男,浙江,17983,216,494,团团，不能光辟谣，应该抓起来杀鸡给猴看呢。,0,2020-02-04 21:42
https://weibo.cn//u/3315824290,品茶看端倪,男,浙江,17983,216,494,网络早该整顿啦！！,0,2020-02-04 21:37
https://weibo.cn//u/6220468977,早知今何当初,男,浙江,304,113,189,一个企业需要老总跑也只有老总，那个企业也就完了，造谣的有点脑子，信谣的也请有点脑子。,0,2020-02-04 21:35
https://weibo.cn//u/5709511827,花开后百花杀,女,江西,538,414,115,钟南山院士都敢拿来造谣，居然有人信，脑子进病毒了还是良心被狗吃了,0,2020-02-04 21:31
https://weibo.cn//tutumisa69,涂涂晓misa,女,云南,3301,1119,4355,这件事造谣的应该抓起来！！！非常恶劣了,0,2020-02-04 21:27
https://weibo.cn//u/7276235301,彤1313,男,其他,930,107,16,听说吉利德三年前研发出的药💊一个疗程要百万！如果是真的，那真是吃人不吐骨头啊！这群🐶腿子拿钱造谣生事了！,0,2020-02-04 21:09
https://weibo.cn//u/5517317992,专业送分_5201,男,北京,376,244,182,造谣其实就是恶意、故意说谎骗人，所以应该死。,0,2020-02-04 21:08
https://weibo.cn//u/2889054302,Z没人知道我是谁,女,江西,1833,749,441,回复@宇文话唠:狗粮可能都领不到,0,2020-02-04 21:01
https://weibo.cn//u/5783249802,重奖绝缘体质用户,男,北京,8,134,2,为了卖药也是服了。这样的企业封杀好吗,0,2020-02-04 21:01
https://weibo.cn//u/5452376327,榴莲爱KK,女,广东,23464,319,252,辟谣！！！,0,2020-02-04 20:59
https://weibo.cn//u/5398246089,ddff爱美食,男,其他,15,11,1,回复@璐瑶ice:分类讨论，满分,0,2020-02-04 20:55
