评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3937348351,共青团中央,男,北京,44522,1495,15587934,瑞德西韦是美国一款处于研发阶段的药物，作用尚有待验证，也未在任何国家上市。 今天，互联网上关于这一药物短时间内已在761位患者身上“全部显效”的说法甚多。曹彬在回答记者询问时说：“临床研究今天才开始，怎么可能知道结果？”他强调，科学研究需要时间。（中国青年报）,141,2020-02-06 22:32
https://weibo.cn//u/2023065110,石原酱的小迷妹,女,其他,2176,472,4704,美分天天帮他爹美化身份,182,2020-02-06 22:28
https://weibo.cn//u/6733638080,发型不同于风向,男,海南,26,45,96,瞅瞅瞅瞅，还说美国的援助没到,81,2020-02-06 22:27
https://weibo.cn//dvdface,汉学堂,男,湖北,13,75,101,又要被打脸的文章。看看病毒所抢注专利，这不明白的事儿吗。不要看人说了啥，要看人做了啥。病毒所怎么没去抢注双黄连治疗新冠的专利？😄不是蠢就是坏。肯定有人喷，美国怎么不吃，怎么还没治好？你要看看美国也没死人啊。,0,2020-02-08 22:59
https://weibo.cn//u/6357777823,闲来微笔,男,上海,7,51,15,回复@发型不同于风向:这是友军，算了不抢救了，厚葬吧,0,2020-02-07 15:24
https://weibo.cn//u/7267103259,兔子耳朵SSWL,女,浙江,3639,1062,1597,害,0,2020-02-07 12:21
https://weibo.cn//u/1655715013,Crazy-Evan,男,江苏,248,203,143,不传谣不信谣，想想李文亮,1,2020-02-07 12:05
https://weibo.cn//u/6062522927,郁子holic,男,其他,21,164,1035,中日友好。。。用美国人未经测试的药，拿他们美国不知道怎么的来的东西，在中国人身体上做药物实验？怎么美国人流感没见美国那么上心,0,2020-02-07 11:11
https://weibo.cn//u/7288322676,南山之梅,女,甘肃,2470,74,19,辟谣,0,2020-02-07 11:11
https://weibo.cn//u/3646402372,Edmond丶似懂非懂,男,其他,5,44,53,回复@LionelHanmssi:而且有的人还扯鲁迅来喷国家 可它们不知道 鲁迅先生也说过:我们从古以来，就有埋头苦干的人，有拚命硬干的人，有为民请命的人，有舍身求法的人，……虽是等于为帝王将相作家谱的所谓“正史”，也往往掩不住他们的光耀，这就是中国的脊梁。,0,2020-02-07 10:56
https://weibo.cn//vadeo,谷鸽儿,男,其他,3266,380,784,美国人真坏,0,2020-02-07 10:54
https://weibo.cn//u/6591145630,有人夜里看星星,女,其他,3516,110,41,反正你们说什么都是对的,1,2020-02-07 10:53
https://weibo.cn//u/6594488182,eoeiuv,女,海外,58,37,5,可以给危重病试试死马当活马,0,2020-02-07 09:59
https://weibo.cn//tnk1020,QTHB9020,女,其他,16,22,123,可以给危重症病人试用知情情况下,0,2020-02-07 09:25
https://weibo.cn//sucop,大风舞兮云飞扬o,男,海外,131,185,47,回复@这个风男会武术:人民日报报道的是昨天晚上9点半去世了,0,2020-02-07 09:14
https://weibo.cn//573377877,成利财让,男,其他,26035,398,4789,转发微博,0,2020-02-07 08:31
https://weibo.cn//u/5896886571,LionelHanmssi,男,河南,940,278,89,回复@熊猫族永不低头:生在中国其实是幸福的，有些人不知福，而且爱拿一些激进言论标榜自己，政府舆论做的再好，也叫不醒装睡的他们,0,2020-02-07 07:20
https://weibo.cn//u/5896886571,LionelHanmssi,男,河南,940,278,89,回复@文翠6429258008:对，所以还要相信政府，团结一致才能度过难关,0,2020-02-07 07:14
https://weibo.cn//u/5730226913,高小飞刀来了,男,湖南,310,316,87,回复@紫气凯歌尽东来:是的,0,2020-02-07 06:09
https://weibo.cn//u/3626294434,程NNNN,男,江西,102,40,84,回复@TIFFANYTONG___TANGYUE:敲黑板！来，跟我念：不造谣，不传谣！ 有用吗？,0,2020-02-07 05:42
https://weibo.cn//u/2986284155,风景依旧H,男,其他,5844,960,1591,疫情肆孽时期散播谣言者等于草菅人命，应该予以严惩！,0,2020-02-07 04:17
https://weibo.cn//u/3907733272,小桃桃的小桃子,女,江苏,120,100,19,美国还是坏，并不信它的言论,0,2020-02-07 03:17
https://weibo.cn//u/7275947278,NSOyunlei,男,其他,47,158,20,     举报             赞[0]         回复             2020-02-07 03:15:53 来自网页,0,2020-02-07 03:15
https://weibo.cn//u/6226898549,给老子努力,男,其他,202,171,36,泱泱大国,0,2020-02-07 03:04
https://weibo.cn//u/6429258008,文翠6429258008,女,辽宁,34,188,23,回复@Q伟N:这是怎么回事？真是解药,0,2020-02-07 02:49
https://weibo.cn//u/6429258008,文翠6429258008,女,辽宁,34,188,23,回复@水瓶座共天一色:给自己打脸,0,2020-02-07 02:46
https://weibo.cn//u/6429258008,文翠6429258008,女,辽宁,34,188,23,回复@LionelHanmssi:中国有的是聪明人，一將无能累死三军，内奸也暴露的差不多了,0,2020-02-07 02:44
https://weibo.cn//u/6429258008,文翠6429258008,女,辽宁,34,188,23,没实验，怎么申请专利，别打脸了,0,2020-02-07 02:38
https://weibo.cn//u/2945618273,jolie心,女,江苏,156,175,89,A:如果你穿越到一个月前你会做什么？ B:你会成为第九个造谣者！,1,2020-02-07 02:17
https://weibo.cn//u/3091802022,秦时联盟传媒部,男,海外,3813,484,1811,回复@远江延醉2014:是直接在病人的人体上吗？还是人体提取物上。,0,2020-02-07 02:08
https://weibo.cn//u/2297851705,费腾达就要飞黄腾达,男,辽宁,1415,224,718,你怎么不针对李文亮医生的消息辟谣呢？到底谁在作伪？究竟李医生去世是造谣？还是抢救死人是造谣？,5,2020-02-07 02:04
https://weibo.cn//u/7363089725,orange橘宝,女,海外,57,17,44,敢说真话的团团,0,2020-02-07 01:22
https://weibo.cn//u/3911419283,Sessioni,男,其他,1465,226,289,之前谁在一直给这个药发好人卡的？这消息出来破灭了多少重症患者的信心？,0,2020-02-07 00:49
https://weibo.cn//u/1948781233,好好珍惜现在666,女,湖北,87,347,22,如果真对此病毒有特效！那是不是这个药是有备而来？让我想歪了,0,2020-02-07 00:49
https://weibo.cn//u/6480266858,樱花草莓味的甜,女,其他,12,54,1,❤️,0,2020-02-07 00:46
https://weibo.cn//u/1586860534,凑合过日子好难,男,其他,255,1049,188,能不能解释一下,1,2020-02-07 00:37
https://weibo.cn//u/6904787167,monica_64164,女,湖北,155,105,6,哎哟喂~某些人别老想着让中国人当小白鼠~,0,2020-02-07 00:28
https://weibo.cn//u/6152431972,一个名都起不了,男,其他,0,47,100,愚昧的国人 苍天啊,0,2020-02-07 00:21
https://weibo.cn//u/7371878595,熊猫族永不低头,男,河北,4,67,9,回复@LionelHanmssi:李文亮死的那一刻，再也没有人相信中国两个字，不要怪美狗无耻，怪只怪政府无能，对舆论战一无所知,1,2020-02-07 00:18
https://weibo.cn//u/1747266657,夏花之秋叶,男,江苏,226,309,196,回复@共青团中央:其实人家美国也没说有效果，是我们国内某研究所说有效果的，还申请了专利，有新闻依据,2,2020-02-07 00:08
