评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5268589994,黄俊鸿,男,四川,915,80,20417,那些造谣的营销号就应该好好管哈,642,2020-02-11 15:29
https://weibo.cn//u/1677684493,人生的信条,男,辽宁,336,213,162,这条消息怎么这么安静，之前一顿喊的人呢？谁圈出来几个让大家解解气！,363,2020-02-11 15:29
https://weibo.cn//u/3743319430,正版宣之,女,重庆,224,209,374,生气！！！造谣者不要脸！！！,314,2020-02-11 15:28
https://weibo.cn//u/1638089227,单曲循环1313,男,福建,100,80,97,597910.com这个网址（网络赌博网站）害死了很多家庭，很多人。我身边的真人真事。看着身边朋友一个个因为这个网络赌博自杀，我到处举报，没有一个有用的。我求求大家帮忙转发或者挺起来，让国家注意。我不会说话。不知道怎么表达，求求大家了。或者大家告诉我哪里举报有效果。求求大家了,0,2020-04-11 05:41
https://weibo.cn//u/5824595133,岁月神偷dean,男,江苏,12,87,37,回复@北府灬鹰扬校尉:还有，盐城跟无锡常州不是同一个队伍，900多人是分两个队伍的。,0,2020-02-19 19:26
https://weibo.cn//u/5824595133,岁月神偷dean,男,江苏,12,87,37,回复@奇妙图鉴:你如果当时就看了新浪江苏你就不这么想了，只是被删了，江苏人也不想说什么了，很多人心里明白。,0,2020-02-19 19:23
https://weibo.cn//u/1668811231,记住那个年代,女,江苏,769,241,58,请问找回来之前是不是丢？暴露的是武汉的管理混乱，应急能力差。那天晚上到达的飞机不能算超负荷，各地医疗队出发前肯定通知了武汉，因为坐的是飞机！不好好检讨，但说人家造谣！,0,2020-02-18 08:41
https://weibo.cn//u/6899436510,A娜宝1994,女,其他,9,358,5,为什么造谣的那么火，真实的几这么点人知道？难道微博支持造谣者无法无天吗？,0,2020-02-16 23:28
https://weibo.cn//u/6899436510,A娜宝1994,女,其他,9,358,5,回复@人生的信条:那些乱喷的人心太坏了，现在真相出来了怎么不出来道歉了,0,2020-02-16 23:23
https://weibo.cn//lyzgsh,等风来临沂,男,山东,2089,1162,289,现在人，为了出镜，没有底线，没有人性，赶紧管管吧,0,2020-02-16 16:31
https://weibo.cn//u/2989022474,Jsusunny,女,江苏,241,355,147,假的真不了，真的假不了，江苏人心里知道,0,2020-02-16 12:56
https://weibo.cn//u/2813153431,誘拐太阳,女,山东,3713,441,955,毕竟造谣成本低！我还记得所有关于湖北疫情微博底下都是一水儿这样的“正能量”呢🙃,1,2020-02-16 12:47
https://weibo.cn//u/7318970362,荠麦,女,江苏,14,92,17,回复@人生的信条:我也没想说什么，我之前看这个微博还没两句话还在，现在已经被删掉了，一起战胜疫情吧,0,2020-02-15 22:47
https://weibo.cn//u/1677684493,人生的信条,男,辽宁,336,213,162,回复@荠麦:也不是挪用啊！,0,2020-02-15 22:44
https://weibo.cn//u/2989022474,Jsusunny,女,江苏,241,355,147,关键是武汉发生匪夷所思的事情太多，透支的政府的公信力，怪谁？,0,2020-02-15 21:38
https://weibo.cn//u/6179263193,烟花烂漫222,女,其他,484,195,15,唉,0,2020-02-15 09:56
https://weibo.cn//u/6496123434,萌萌喜欢春日的蔷薇花,女,其他,517,166,25,回复@海纳百晓美女生:台湾人小号？废青小号？你不是口口声声说造谣的人不是造谣么？官方辟谣你没看见？哦，你这种人只会扣帽子，不但心瞎，而且眼瞎。你是不是生活很不如意？房租交了么？,0,2020-02-15 00:47
https://weibo.cn//u/2895319973,一只白白兔,男,其他,386,85,60,回复@芝麻娘黒黒黒:请问您多大啦？,0,2020-02-14 18:53
https://weibo.cn//u/2895319973,一只白白兔,男,其他,386,85,60,回复@芝麻娘黒黒黒:您是黑粉吗？,0,2020-02-14 18:53
https://weibo.cn//u/5146776235,芝麻娘黒黒黒,女,江苏,10,273,64,回复@那个疯狂的人是我__:我还看到有个南京的说希望湖北屠城呢！但是这是个别人说的。大方向多说人都在问是不是真的！,0,2020-02-14 14:05
https://weibo.cn//u/5146776235,芝麻娘黒黒黒,女,江苏,10,273,64,回复@一只白白兔:我都看过了。标题都是。江苏丢行李，武汉说统一分配。求辟谣！抢行李是下面评论的人说的。不是发的人说的。,0,2020-02-14 14:03
https://weibo.cn//u/5146776235,芝麻娘黒黒黒,女,江苏,10,273,64,回复@那个疯狂的人是我__:你这么聪明知不知道，那时候来辟谣的时候说的。爆出来丢行李的时候，没有任何新闻说人说人和和行李分开？你先出世。什么都知道！,0,2020-02-14 14:02
https://weibo.cn//woshisuren,自己差无所谓反正别人不能好,男,广东,12496,1631,948, 必须强力出击管控自媒体。,0,2020-02-13 21:17
https://weibo.cn//u/6115098477,八府巡察使,男,山东,0,5,21,乱七八糟,0,2020-02-13 16:23
https://weibo.cn//canvii,hw703,女,湖北,1179,392,1143,回复@崔小柒不思基:朋友圈的喷子都直接被我删了,0,2020-02-13 15:28
https://weibo.cn//rengshiyanjiu,海纳百晓美女生,男,广东,6512,4210,821,回复@萌萌喜欢春日的蔷薇花:我那一句恨党国了？只恨有些素质低下的人沾污党国，居然还叫中国红，你的脸不红啊？哦，你没长,0,2020-02-13 15:06
https://weibo.cn//u/1104210825,天地一沙鸥1206,男,江苏,25,308,94,问题肯定是有的，只是后来纠正了，武汉那边组织管理应该是很不到位,0,2020-02-13 13:20
https://weibo.cn//u/7391478827,小王同学说的对,女,其他,17,51,1,     举报             赞[0]         回复             2020-02-13 11:48:27 来自网页,0,2020-02-13 11:48
https://weibo.cn//u/7391800818,麟尐2020,男,广东,9,127,1,那些造谣的营销号就应该好好管哈,0,2020-02-13 11:44
https://weibo.cn//u/6496123434,萌萌喜欢春日的蔷薇花,女,其他,517,166,25,回复@海纳百晓美女生:呦，看到你换头像了，请问你是台湾人小号？还是香港废青小号？还是恨国党？是哪一种呢？换个头像别人就不认识你了么？天真、幼稚～另外，我支持wu tong台湾，你呢？,0,2020-02-13 11:27
https://weibo.cn//u/7391209617,铁粉村姑,女,广东,2,13,1,，妖言惑众，危言耸听就应该严惩,0,2020-02-13 11:22
https://weibo.cn//u/6496123434,萌萌喜欢春日的蔷薇花,女,其他,517,166,25,回复@海纳百晓美女生:祝福所有想要借疫情造谣搞事情的台湾人小号、香港废青小号、恨国党们，全部都功亏一溃。祝你多读书、逻辑捋顺、多提高自身素养，再出来为造谣者辩解。,0,2020-02-13 11:19
