评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//honeyhai,我今天失眠,男,福建,136,399,3640,总有人想搞点大新闻,545,2020-02-25 11:51
https://weibo.cn//513457356,塔图姆投篮美如画,男,其他,505,1068,2645,如果你们实在应付不过来，其实可以考虑让社会力量加入，比如专业的快递物流公司。这也是前天中央开会提到的:让社会力量加入疫情防疫！,229,2020-02-25 11:52
https://weibo.cn//u/2323375044,原来是涓涓呀,女,陕西,2559,526,1658,这些人真是闲的没事干！！！ 谣言可耻！！！严惩造谣者！！,108,2020-02-25 11:56
https://weibo.cn//u/5656549853,问宋先生知不知,女,河北,142,251,28,。。。。。,0,2020-03-22 18:11
https://weibo.cn//u/2563054233,种太阳的萝卜干,女,西藏,19,28,3,可是垃圾车送肉在武汉是真的吧？,0,2020-03-14 22:43
https://weibo.cn//maybeltt,Ms-LTT,女,江苏,267,575,100,湖北荆州有人2.25日回上海浦东新区三林镇前滩东方逸品，小区不审查直接放行，后被租户发现，给物业打电话，今天才将人员带去强制隔离点，同时导致接触人员强制隔离 ，荆州解封了吗，2.25日还能从荆州回上海？一问小区物业通行码形同虚设吗？二问荆州未解封怎么有人员可以进入上海，一方安定怎么维持,0,2020-03-01 22:37
https://weibo.cn//u/1957303442,仁者1990,男,陕西,474,286,213,所以倾倒萝卜到底发生在哪？,1,2020-02-26 21:18
https://weibo.cn//u/5828214527,漫步刀特,男,上海,1485,3697,7275,回复@非草木人:那我们说的不是一件事，我说的是应该被惩治的造谣行为,0,2020-02-26 12:39
https://weibo.cn//xtan28,非草木人,男,北京,2850,96,756,回复@漫步刀特:谣言是汉语词汇，词义有三：1.指没有事实存在而捏造的话。2.没有公认的传说。3.民间流传的评议时政的歌谣，谚语。,0,2020-02-26 12:36
https://weibo.cn//u/5744027003,super刀刀,男,甘肃,46,150,43,回复@我今天失眠:made公司出手捐赠几个亿，可谁知道那些捐赠都是扣员工本月的工资得来的，劳资被扣几千元，接近一半的工资，他们却浪费，劳资这个月要吃土！[发怒],0,2020-02-26 12:28
https://weibo.cn//u/5744027003,super刀刀,男,甘肃,46,150,43,公司出手捐赠几个亿，可谁知道那些捐赠都是扣员工本月的工资得来的，我们这个月被扣几千元，接近一半的工资，你们浪费，劳资这个月要吃土！,0,2020-02-26 12:28
https://weibo.cn//u/5832808573,江浦路剥虾冠军,女,广东,1470,273,53,口内,0,2020-02-26 12:09
https://weibo.cn//u/5828214527,漫步刀特,男,上海,1485,3697,7275,回复@非草木人:我讨论的也是执法层面上谣言的认定，我不认为所有不符合事实的信息、质疑提出都是谣言，所以我在找谣言和一般基于有限事实提出质疑和举报信息的差异边界。比如你听到个别深夜有人讨论吸毒，你报警了，结果对方没有。但也不能以造谣来论处你。,0,2020-02-26 10:49
https://weibo.cn//xtan28,非草木人,男,北京,2850,96,756,回复@漫步刀特:我只是跟你讨论什么谣言，至于你说的广开言路那是另一回事。了解杀人动机我觉得是为了审判需要，故意杀人和被动杀人（正当防卫）肯定量刑上有区别，同样的，故意传播谣言，扭造虚构事实，和一般的跟风传播，性质上肯定不一样，但无论是故意还非故意，都是传播谣言。第一个传的，和跟风的，惩治肯定不同,0,2020-02-26 10:45
https://weibo.cn//u/5828214527,漫步刀特,男,上海,1485,3697,7275,回复@非草木人:诽谤罪的构成要件就是故意，行为上有捏造虚构事实。对于执法者而言，杀人犯都要了解杀人动机，我认为谣言也需要。我觉得应该政府广开言路，降低私下传播（大众传播有信息绝对化趋势）。这次是政府都只是澄清，没有上升倒谣言高度，评论一堆说要惩治谣言的，想了解你们逻辑，所以来交流,0,2020-02-26 10:09
https://weibo.cn//xtan28,非草木人,男,北京,2850,96,756,回复@漫步刀特:按你说的每个人说话都有理由，那诽谤罪，谣言之类的都没有错了，执法的时候都得问问你为什么这么说,0,2020-02-26 09:59
https://weibo.cn//u/5828214527,漫步刀特,男,上海,1485,3697,7275,回复@非草木人:以你的案例，如果二级说八级的目的是啥，他能说出八级一定他基于的理由，不在主观故意下，执法者不去理解他认为是八级的原因（比如区域房屋倒塌率高）而是直接按谣言处理我觉得是不合适的,0,2020-02-26 09:46
https://weibo.cn//xtan28,非草木人,男,北京,2850,96,756,回复@漫步刀特:假如预报地震二级，你说是八级，虽然地震是事实，级数有偏差，但造成的后果可是完全不一样的，恐慌造成人群挤兑，这种就是谣言！对信息传播错误，不管主观是不是故意的，都是谣言，只是有轻有重罢了，轻的可以不追究，造成严重后果的要追究责任。,1,2020-02-26 09:05
https://weibo.cn//u/5607011345,男拳爸爸耶,男,广东,0,154,29,放地上怎么了，全部摆桌子上？菜还是从土里长出来的呢，嫌脏不要吃啊。,0,2020-02-26 07:28
https://weibo.cn//u/6036556968,只缘妖雾又重来2002,男,甘肃,4304,750,106,呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐呐,1,2020-02-25 23:36
https://weibo.cn//u/5280300059,学医救不了人哟,女,其他,53,93,73,不知道哪里来的这么多人造谣额,1,2020-02-25 23:28
https://weibo.cn//u/2036111722,周梓玄,男,湖北,242,103,62,想知道那个萝卜是怎么回事,1,2020-02-25 21:57
