评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//xz10052020,FalseCharges,女,重庆,26005,930,24037,传谣真的无语了,128,2020-03-19 19:46
https://weibo.cn//u/5477710682,当代大文豪本人,女,其他,647,99,384,“造谣一张嘴，辟谣跑断腿。”造谣无成本。,107,2020-03-19 19:47
https://weibo.cn//u/1820913852,91-老赖,男,上海,397,82,1089,反华势力制造恐慌，鼓动留学生涌入国内，只要能破坏国内稳定的，他们都干,80,2020-03-19 19:48
https://weibo.cn//u/7453069449,UKoffer英国教育英国区,女,海外,117,132,13,杜绝谣言,0,2020-05-09 18:37
https://weibo.cn//u/7264937506,历历江海,女,江苏,665,129,2,不信谣言，不传谣言,0,2020-03-21 11:50
https://weibo.cn//u/5664693599,猪lala5664693599,男,安徽,20,52,20,既是谣言也说明事态的严重性，政府应当关注并给予应对措施,0,2020-03-21 09:14
https://weibo.cn//u/6307147343,环宇投资研究院,男,北京,441,24,101,为什么不查办训诫谣言制造者？,0,2020-03-20 22:28
https://weibo.cn//u/2758225015,sunny桐桐,女,北京,1185,335,260,没事就好，请共青团关注一下疫区国家刚去留学不久的孩子们，特别是以学业水平留学家境一般的孩子，刚去时间不长举目无亲人生地不熟的要给予关怀，哪怕是精神上的，关注一下他们,0,2020-03-20 20:51
https://weibo.cn//u/6280985531,糖和巧克力豆516,女,江苏,115,45,10,渣浪是唯恐天下不乱,0,2020-03-20 10:34
https://weibo.cn//yingyue426,梨晓晓晓晓,男,北京,1508,175,115,反正就造谣的今晚🐴没了就完了,0,2020-03-20 10:16
https://weibo.cn//u/7336724049,云淡风轻421496,男,其他,26,362,608,谣言比病毒更让人恐慌啊,0,2020-03-20 10:09
https://weibo.cn//Kwnyh,九月曜憨t·,女,广东,4788,542,1464,传谣可耻！,0,2020-03-20 10:02
https://weibo.cn//u/1809418830,不是特长生,女,其他,408,1119,1222,又开始造谣了。,0,2020-03-20 09:49
https://weibo.cn//u/3684159122,OldAngel-黑袍加身,男,其他,6349,362,1134,//,0,2020-03-20 09:41
https://weibo.cn//u/5492849057,satomi1015,女,海外,841,97,25,1,0,2020-03-20 09:25
https://weibo.cn//u/7181356830,成成成成果铁狗粉,男,河北,715,211,208,中国加油武汉加油,0,2020-03-20 08:23
https://weibo.cn//u/6982098920,wlkmua,女,广东,570,519,11699,拒绝谣言！,0,2020-03-20 06:47
https://weibo.cn//sunshiqi8023,会讲故事的Rer,男,辽宁,880,131,5560,     举报             赞[0]         回复             2020-03-20 06:20:38 来自网页,0,2020-03-20 06:20
https://weibo.cn//u/6398513957,永恒唯允的铁蛙凯凯,男,安徽,1376,819,370,造谣可耻,0,2020-03-20 02:09
https://weibo.cn//u/6983030581,小杰酱o,女,其他,1200,458,1254,大家都要保重身体,0,2020-03-20 00:35
https://weibo.cn//u/2044763405,流觞一曲梦千年,男,四川,4430,266,233,不信谣不传谣不造谣,0,2020-03-19 23:55
https://weibo.cn//u/7389039730,爱妃你别闹i47947,男,其他,36,79,7,前段时间你们也抓了8个医生说他们造谣，可惜后来真的爆发疫情了,1,2020-03-19 23:55
https://weibo.cn//u/5607898659,雷雨转阳光,女,广东,1593,570,1020,在英国的同胞们，一定要注意安全或回来祖国,1,2020-03-19 23:41
https://weibo.cn//u/6105594690,黄俊捷官方微博群的小管理小铃,女,浙江,4659,184,13405,造谣可恶！传谣可耻！信谣可悲！,0,2020-03-19 23:40
https://weibo.cn//u/7338232917,UNIQ-玲兒,女,湖北,541,273,1515,严惩，造谣者,0,2020-03-19 23:28
https://weibo.cn//u/5525912228,白猫琥珀,女,河南,486,53,105,真的，微博实名制吧！,1,2020-03-19 23:13
https://weibo.cn//u/7340866046,一只不知名小可爱,女,广东,15,60,1,践行社会主义核心价值观 富强 民主 文明 和谐 自由 平等 公正 法治 爱国 敬业 诚信 友善 中国加油！！,0,2020-03-19 22:59
https://weibo.cn//u/6776782462,聪明可爱橘猪猪,男,浙江,22194,139,5420,勿信谣,0,2020-03-19 22:43
https://weibo.cn//u/3830389677,_ww_n,女,北京,989,520,99,伦敦快封城了，中国撤不撤侨,0,2020-03-19 22:01
https://weibo.cn//u/2455982021,我是齐家不是家齐,男,安徽,383,138,617,轮子们为了造谣不择手段雅,0,2020-03-19 21:51
https://weibo.cn//u/7368337244,板栗的麻麻呀,男,澳门,81,61,2,谣言太可怕了,0,2020-03-19 21:36
https://weibo.cn//tuzm,公子钰儿,女,海外,12631,197,20856,这些人上辈子大概没长嘴巴，所以这辈子一定要把大嘴巴胡说八道发挥到极致。,0,2020-03-19 21:31
https://weibo.cn//u/6185867893,恩格斯家的汪汪,男,其他,2615,984,332,回复@91-老赖:不排除是。,0,2020-03-19 21:30
https://weibo.cn//u/7325367882,余生斗和我野,女,云南,9863,331,1041,对造谣的深恶痛绝！,1,2020-03-19 21:29
https://weibo.cn//u/7412326045,兴业路76号隔壁,男,上海,301,172,18,早点撤侨吧。,0,2020-03-19 21:19
https://weibo.cn//u/7153222971,lawuniverse,男,江西,17,134,15,防谣，防疫！,0,2020-03-19 21:01
https://weibo.cn//u/6804855826,今天的努力是幸运的伏笔jy,男,江苏,223,86,34,造谣的居心叵测,0,2020-03-19 20:58
https://weibo.cn//u/6593699632,Light-Yuri,女,海外,1698,462,7823,谣言止于智者,1,2020-03-19 20:56
https://weibo.cn//u/6682667986,悠米佳佳,女,其他,3754,876,937,在外留学生一定要保护好自己啊！,1,2020-03-19 20:53
https://weibo.cn//u/5492354643,一只苦苦的抗生素,女,其他,1719,402,170,杭州西湖区关注一下！！,0,2020-03-19 20:48
https://weibo.cn//u/6589047218,钮钴禄希望,女,其他,90,18,27,请关注泰然金融2万出借人弱势群体！泰然金融诈骗50亿！滨江经侦暗箱操作，立案不追赃。找各种理由不公布账户余额，打压恐吓出借人并乱扣帽子，无视合同法和民法,0,2020-03-19 20:46
https://weibo.cn//u/6589047218,钮钴禄希望,女,其他,90,18,27,请关注泰然金融2万出借人弱势群体！泰然金融诈骗50亿！滨江经侦暗箱操作，立案不追赃。找各种理由不公布账户余额，打压恐吓出借人并乱扣帽子，无视合同法和民法,0,2020-03-19 20:46
https://weibo.cn//u/6589047218,钮钴禄希望,女,其他,90,18,27,请关注泰然金融2万出借人弱势群体！泰然金融诈骗50亿！滨江经侦暗箱操作，立案不追赃。找各种理由不公布账户余额，打压恐吓出借人并乱扣帽子，无视合同法和民法,0,2020-03-19 20:46
https://weibo.cn//u/6586855383,冲吖猋猋,女,其他,69,377,190,造谣可耻,0,2020-03-19 20:44
https://weibo.cn//u/2012114304,战的路路,女,海南,10536,167,1410,最近网上的造谣也太多了吧。。。不信谣，不传谣，独立思考,1,2020-03-19 20:40
https://weibo.cn//u/5024854545,余生的彩虹,女,辽宁,2069,595,605,一张嘴能救人也能害人，请善用,0,2020-03-19 20:40
https://weibo.cn//u/6471879528,贺之翰夏,女,湖北,4929,449,169,无语了……,0,2020-03-19 20:38
https://weibo.cn//u/7300166447,提子味的芒果呀,女,其他,3586,319,156,拒绝造谣,0,2020-03-19 20:37
https://weibo.cn//u/6454494966,阿阿阿阿阿咩呀,女,安徽,28310,718,2737,     举报             赞[0]         回复             2020-03-19 20:34:03 来自网页,0,2020-03-19 20:34
https://weibo.cn//u/6076533488,捕风的远哥,男,广东,9,109,11,你们是怎么做到铁粉的,1,2020-03-19 20:33
