评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7426163177,墨泽之,男,上海,1896,247,42, 进来挨骂！,6701,2020-09-19 16:16
https://weibo.cn//u/6320221670,老路83,男,其他,444,380,151, 脸疼不疼？对不起可能您没脸了,3448,2020-09-19 19:24
https://weibo.cn//u/3317831325,捕获一只大使,男,北京,565,88,159,有一条没辟谣的：“资本是弱势的一方”。,3065,2020-09-19 16:16
https://weibo.cn//harelf,天鹤游侠,男,天津,2784,797,3370,又翻到了//,0,2021-01-22 10:54
https://weibo.cn//u/6160973944,伊拉克老张,男,海外,10,73,5, 方方老师，您说这个是辟谣中的造谣，请问您是以什么为依据来进行判断的呢?我看着这图片里的手机是蛮破的，比较倾向于相信这是谣言,0,2021-01-15 22:38
https://weibo.cn//u/7213475203,帝风祀,男,山东,0,227,2,回复@Anywayforu:什么特么“主旋律外不一样的声音”？造谣算“主旋律外不一样的声音”？你的儿童思想启蒙老师是狗完成的吧？一地手机是不是造谣？你爸妈小时有没有教你别撒谎？还是你从小没有爸妈？,0,2020-12-20 04:01
https://weibo.cn//u/7213475203,帝风祀,男,山东,0,227,2,回复@李瑶画:韩国那个强奸8岁女童并导致女孩子终生残疾的恶魔现在也是个68岁的老人了，你要不要也尊老爱幼呢？你眼里是不是“我老我有理”这种逻辑？恶就是恶，作恶者就该被爆光，被鞭笞，被声讨！惩治恶人，也是行善,0,2020-12-20 03:55
https://weibo.cn//u/7459263741,人生之数AAA,男,山东,4,22,2,方方能和搞港独的狗被西方认可，自己还有脸天天发个微博，事实是信息太发达。大众不容易被误导,0,2020-12-20 02:01
https://weibo.cn//u/6651556354,梦想加油坚持努力,男,其他,9,79,15,回复@奋_斗_士:@方方 丢人吗！,0,2020-12-14 16:33
https://weibo.cn//u/6651556354,梦想加油坚持努力,男,其他,9,79,15,回复@已是悬崖百丈冰2020:说的对！,0,2020-12-14 16:31
https://weibo.cn//u/6651556354,梦想加油坚持努力,男,其他,9,79,15,回复@墨泽之:支持你，她就是欠骂，还举报我太秀了,0,2020-12-14 16:30
https://weibo.cn//u/3884567441,一个人的旅行-2005,男,重庆,9,42,18,老母狗方方,0,2020-12-14 15:30
https://weibo.cn//442642426,宝藏猎人弗朗西斯,男,辽宁,65,200,46,回复@一点也不甜的小哥哥:德国被纳粹压榨的连国家都没了,0,2020-12-13 23:32
https://weibo.cn//u/6980838791,Zb202,男,其他,9,192,8,青团子，你明辨的有点不讲武德。,0,2020-12-11 06:44
https://weibo.cn//u/6200921367,我是子铭同学,男,其他,39,118,3, 妖婆 ，记录在案？ 坐等收拾你.,0,2020-12-10 22:39
https://weibo.cn//u/7457317095,上帝的公知,男,其他,11,24,1,回复@脚滑的panda:我好多年没见过翻盖手机了，太麻烦,0,2020-12-09 23:22
https://weibo.cn//u/5820238898,蜜蜂总动员,女,黑龙江,586,554,11362, 老妖婆，做人得要脸，知道吗？老畜！,0,2020-12-08 12:35
https://weibo.cn//u/1974087072,LOVE_小落,男,上海,40,84,21,方老妖婆知道自己臭成了什么个鬼样子，关了评论功能，怕是被网友骂死。 在公知如老鼠过街人人喊打的现在，也就几个烂公知之间相互取暖了。,0,2020-12-07 23:37
https://weibo.cn//u/5709596822,逝水流年之卓然,男,安徽,85,299,131,回复@老路83:哈哈,0,2020-12-04 22:54
https://weibo.cn//u/5583223811,taihou64781,男,其他,5,59,1,你是在打你自己的脸，造了那么多的要，道德品质败坏，,0,2020-11-24 21:59
https://weibo.cn//u/7484196781,沼底呀,女,四川,8,186,4,回复@你眼里有月亮哇:它真的写了,0,2020-11-21 11:14
